Reactions,Min Solutions,Max Solutions,Solution Biomass
ALATA_D2,0.00015161180286149545,0.00015161180286149545,0.20210302806097966
SHCHD2,4.506899105955899e-05,4.506899105955899e-05,0.20210302806097966
CPPPGO,4.477613756373154e-05,4.477613756373154e-05,0.20210302806097966
GTHOr,64.30564654867987,64.30564654867987,0.20210302806097966
DHORD5,0.0007635580265521885,0.0007635580265521885,0.20210302806097966
GLYCTO2,0.00042350694312436976,0.00042350694312436976,0.20210302806097966
GLYCTO3,0.0002623027957069368,0.0002623027957069368,0.20210302806097966
GLYCTO4,5.776759577358348e-06,5.776759577358348e-06,0.20210302806097966
PFK_3,0.02842074995772137,0.02842074995772137,0.20210302806097966
TRPS2,1.9963201522782414e-05,1.9963201522782414e-05,0.20210302806097966
G3PD5,0.0008239012858186345,0.0008239012858186345,0.20210302806097966
EX_acgam_e,0.0,0.0,0.20210302806097966
EX_cellb_e,0.0,0.0,0.20210302806097966
EX_chol_e,0.0,0.0,0.20210302806097966
LEUTAi,0.09105310444199413,0.09105310444199413,0.20210302806097966
SHK3Dr,0.07702532511274995,0.07702532511274995,0.20210302806097966
G5SD,0.04479361159785924,0.04479361159785924,0.20210302806097966
ALATA_L2,0.0001977338307188603,0.0001977338307188603,0.20210302806097966
MAN6PI,0.0,0.0,0.20210302806097966
APRAUR,8.971723787709607e-05,8.971723787709607e-05,0.20210302806097966
DB4PS,0.00017954384712126625,0.00017954384712126625,0.20210302806097966
RBFK,4.346524635284732e-05,4.346524635284732e-05,0.20210302806097966
ACP1_FMN,8.364686018544768e-05,8.364686018544768e-05,0.20210302806097966
RBFSb,8.937346369573829e-05,8.937346369573829e-05,0.20210302806097966
EX_pi_e,-0.1949497934857899,-0.1949497934857899,0.20210302806097966
EX_h_e,18.815850102655514,18.815850102655514,0.20210302806097966
DMATT,5.5946527883166584e-05,5.5946527883166584e-05,0.20210302806097966
GRTT,5.6184607767570296e-05,5.6184607767570296e-05,0.20210302806097966
UPP3S,8.967039622476136e-05,8.967039622476136e-05,0.20210302806097966
UPPDC1,4.4615411326478383e-05,4.4615411326478383e-05,0.20210302806097966
TMDPP,-2.543958757973003e-07,-2.543958757973003e-07,0.20210302806097966
EX_ade_e,0.0,0.0,0.20210302806097966
EX_4abut_e,0.0,0.0,0.20210302806097966
EX_ac_e,16.958702229059057,16.958702229059057,0.20210302806097966
EX_akg_e,0.0,0.0,0.20210302806097966
EX_ala__L_e,0.0,0.0,0.20210302806097966
EX_arg__L_e,0.0,0.0,0.20210302806097966
EX_asp__L_e,1.1662023047948056e-07,1.1662023047948056e-07,0.20210302806097966
EX_cytd_e,0.0,0.0,0.20210302806097966
EX_dcyt_e,0.0,0.0,0.20210302806097966
EX_fum_e,8.152265376748513e-05,8.152265376748513e-05,0.20210302806097966
EX_glu__L_e,1.407192750887444e-08,1.407192750887444e-08,0.20210302806097966
EX_gua_e,0.0,0.0,0.20210302806097966
HCO3E,0.10622814681000742,0.10622814681000742,0.20210302806097966
