Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
rxn00001_c0,NODE_1_3110591_3110064,0.0,33.43862743808437,19.61378247263725
rxn00001_c0,NODE_1_3110591_3110064,0.0,33.43862743808437,19.61378247263725
rxn00001_c0,NODE_1_3110591_3110064,0.0,222.6027946799377,145.4853574209485
rxn00106_c0,NODE_1_3110591_3110064,0.0,33.43862743808437,19.61378247263725
rxn00106_c0,NODE_1_3110591_3110064,0.0,33.43862743808437,19.61378247263725
rxn00106_c0,NODE_1_3110591_3110064,0.0,128.60194416735405,89.28169480471955
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00003_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn00010_c0,NODE_1_2417380_2415695,0.0,10.0254301429851,4.426675379722834
rxn00010_c0,NODE_1_2417380_2415695,0.0,10.0254301429851,4.426675379722834
rxn00010_c0,NODE_1_2417380_2415695,0.0,10.0254301429851,4.426675379722834
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00011_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn02185_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
