Iteration,Biomass
0,0.013950425612139343
1,0.033471763342954465
2,0.052456713260772427
3,0.07684906113635788
4,0.0936490955751273
5,0.10585072726944846
6,0.11991625895126334
7,0.1308613142141994
8,0.13894910552146675
9,0.14950324605954524
10,0.15560983296759817
11,0.1637796712191903
12,0.1666722164814381
13,0.17149540549449485
14,0.17561813699636747
15,0.18007730355353685
16,0.18400196914831649
17,0.18795501899693162
18,0.1896156438833244
19,0.19205702364242044
20,0.19415187915638737
21,0.19651379756948717
22,0.1979818562529451
23,0.1995482212937582
24,0.20088171182381234
25,0.20143435874033405
