Key,Value
PDH_b0114,47.523045050550635
EDA_b1850,49.3777227622332
OAADC_b1850,414.52031160887253
PTAr_b2297,54.60563755525798
PTA2_b2297,
EDD_b1851,49.564138482096055
GLUtex_b1377,45.66292764700082
GLYtex_b1377,63.66423872071745
GLYALDtex_b1377,27.083227742615673
GLYBtex_b1377,105.81818485676953
GLYCtex_b1377,68.23222167590632
GLYC3Ptex_b1377,38.12931129072561
GLYCLTtex_b1377,188.56127044691976
GTPtex_b1377,13.576700496257525
Htex_b1377,72.72674587662641
H2tex_b1377,63.983886376577736
H2Otex_b1377,67.00305148673262
DAPtex_b1377,34.59239538502324
12PPDStex_b1377,101.1254553521823
DDGLCNtex_b1377,36.381736427592124
26DAHtex_b1377,271.09116806358196
HCINNMtex_b1377,35.44365608183687
HPPPNtex_b1377,32.88199250406323
ACtex_b1377,152.1096657515432
ACALDtex_b1377,246.19667136163994
ACMANAtex_b1377,118.07373394054959
ACMUMtex_b1377,147.143408291008
GALtex_b1377,117.92338554965508
GALCTtex_b1377,119.75530886865029
GALCTNtex_b1377,35.090544054409044
GALTtex_b1377,54.959824866042396
GALURtex_b1377,166.9191849144939
GAMtex_b1377,30.366663538336148
GBBTNtex_b1377,54.08541595984489
HIStex_b1377,36.582279990532086
HXAtex_b1377,66.14602816032263
HYXNtex_b1377,57.87304306846027
IDONtex_b1377,45.588938762656035
ILEtex_b1377,181.16318358551294
INSTtex_b1377,122.2285889723501
Ktex_b1377,144.80700417344278
D_LACtex_b1377,128.5302455713339
FRULYStex_b1377,1191.4361855842833
ASPtex_b1377,93.04383220986348
INDOLEtex_b1377,10.73382938615743
L_LACtex_b1377,129.172202245546
GLCRtex_b1377,
GLCNtex_b1377,46.525823552851264
GLCURtex_b1377,142.69773600307406
GLNtex_b1377,100.00346906414788
O2tex_b1377,51.512093084576826
OCTAtex_b1377,40.364479869255796
ORNtex_b1377,216.71990671232524
RMNtex_b1377,349.7055003987579
PHEtex_b1377,47.956394474312205
PItex_b1377,93.443730488968
PNTOtex_b1377,26.559210892869014
PPPNtex_b1377,55.11490397940757
PPTtex_b1377,15.913211261405568
PTRCtex_b1377,75.41572225603346
PYRtex_b1377,189.09100349034966
DSERtex_b1377,66.7309557973564
SERtex_b1377,67.59715423307004
SO4tex_b1377,41.58038205318213
SPMDtex_b1377,205.25198807728881
SUCCtex_b1377,109.47432942714622
SUCRtex_b1377,416.55257963525946
TARTRtex_b1377,114.91352787494054
TAURtex_b1377,625.4487245950609
THRtex_b1377,77.8507222040745
THMDtex_b1377,44.82546503121866
METDtex_b1377,199.43699647977186
METtex_b1377,241.72279092288912
MNLtex_b1377,53.783746677338115
NAtex_b1377,117.05774407438561
NACtex_b1377,15.722366352057032
NH4tex_b1377,93.81078006053801
BUTtex_b1377,11.911527601389675
CHLtex_b1377,56.562639188725434
CO2tex_b1377,118.0002968326167
CRNtex_b1377,160.86598499247367
DINStex_b1377,45.61606585596753
DMStex_b1377,81.99640056509217
CSNtex_b1377,19.61548613348785
CYNTtex_b1377,59.561859310039765
CYStex_b1377,54.786816598378934
CYTDtex_b1377,32.33114437122147
DCAtex_b1377,152.05595672245963
DGSNtex_b1377,47.88535261946833
LCTStex_b1377,
LEUtex_b1377,146.90130473347045
LYStex_b1377,132.22557647570937
LYXtex_b1377,291.7537932802906
MANtex_b1377,231.84042180428162
MAN6Ptex_b1377,144.8105238263158
MELIBtex_b1377,
DMSOtex_b1377,25.2034362172111
FRUtex_b1377,124.56623119749526
FUCtex_b1377,
FUMtex_b1377,113.0287899266466
FE2tex_b1377,136.333796152065
NMNtex_b1377,136.8155774037857
NO2tex_b1377,95.61445967505826
GDPtex_b1377,19.479850107490563
TMAtex_b1377,176.4275919579892
TMAOtex_b1377,150.87639982445322
TREtex_b1377,160.7858236466137
TRPtex_b1377,25.951504013731164
TSULtex_b1377,125.40657791183737
TYRtex_b1377,44.57481751652231
URAtex_b1377,46.46604550961718
UREAtex_b1377,102.83982286126799
VALtex_b1377,71.98276915335452
XANtex_b1377,65.88801830254185
XYLtex_b1377,331.41619108120824
ABUTtex_b1377,75.98911703916055
23CAMPtex_b1377,32.63463996778115
23CCMPtex_b1377,26.537411375226036
23CUMPtex_b1377,53.07743161510159
23CGMPtex_b1377,21.110512737674217
3AMPtex_b1377,361.935065150107
3CMPtex_b1377,71.9958238728275
ETHSO3tex_b1377,190.5284474350573
BUTSO3tex_b1377,158.0206191796496
LIPOtex_b1377,77.17059029314807
GALBDtex_b1377,127.98739198715414
SULFACtex_b1377,179.10119556317645
NOtex_b1377,21.506551230506634
N2Otex_b1377,199.67612184466503
PEAMNtex_b1377,72.53320272646866
PACALDtex_b1377,87.71026206117504
CYANtex_b1377,93.33870143119346
SO3tex_b1377,35.64207664737223
TCYNTtex_b1377,15.039318626604993
METSOX1tex_b1377,
METSOX2tex_b1377,83.96680523496174
3UMPtex_b1377,99.70057329603891
3GMPtex_b1377,98.4562903233374
DOPAtex_b1377,107.9881166208423
4HOXPACDtex_b1377,141.71815081468762
ETHAtex_b1377,43.717663800883805
G3PStex_b1377,45.82930440991578
ACGAL1Ptex_b1377,
ACGALtex_b1377,124.81666675705621
GLCUR1Ptex_b1377,
UDPGLCURtex_b1377,25.25069886450957
ISETACtex_b1377,564.5158420514462
UDPGtex_b1377,20.12044853769346
UDPGALtex_b1377,27.70265235978319
ACGAM1Ptex_b1377,218.23419457548707
UACGAMtex_b1377,54.67930916927061
UDPACGALtex_b1377,47.837740870528975
MSO3tex_b1377,103.4286701031753
GLYC2Ptex_b1377,60.97137226120182
PSERtex_b1377,66.68135278807476
R5Ptex_b1377,107.26041528705318
THRPtex_b1377,277.0454554252623
TYRPtex_b1377,58.4850427929157
CITtex_b1377,83.03986203723464
ACGAtex_b1377,66.90488431601675
G6Ptex_b1377,170.25978776501682
MOBDtex_b1377,100.22662037404716
NI2tex_b1377,
H2O2tex_b1377,86.83117810836274
ADEtex_b1377,39.87765917916717
AGMtex_b1377,24.751758771020636
ALAtex_b1377,43.58310926355198
BALAtex_b1377,62.60316566709569
DALAtex_b1377,49.96106031050906
AMPtex_b1377,266.37101489914005
ARBtex_b1377,278.51394272791526
ARGtex_b1377,93.3021433659691
ASCBtex_b1377,65.67902035206258
MMETtex_b1377,45.697682999152505
FE3tex_b1377,99.84861706815177
MG2tex_b1377,79.59206383263029
Zn2tex_b1377,90.94148563306827
CD2tex_b1377,79.49040265516636
ASO3tex_b1377,114.34847699775578
MANGLYCtex_b1377,64.09722117514633
FRUURtex_b1377,427.9516058413528
GLYCAtex_b1377,56.8793947948018
COBALT2tex_b1377,57.152213285490134
DIMPtex_b1377,45.60421863395117
XTSNtex_b1377,47.24075939469231
HG2tex_b1377,54.085920019392724
DHAtex_b1377,90.6439191310066
ETOHtex_b1377,60.84772583648216
ACACtex_b1377,59.68289177790309
H2Stex_b1377,68.02961805424226
4PEPTtex_b1377,167.47226924187444
CU2tex_b1377,69.86650543917
CLtex_b1377,43.040295587831395
PROtex_b1377,60.286899138811584
SBTtex_b1377,48.371933869680376
AKGtex_b1377,657.7144218227776
ALLTNtex_b1377,306.0057059809475
ASNtex_b1377,85.31022884756489
TYMtex_b1377,55.46783636380519
CMPtex_b1377,28.619164999480045
DUMPtex_b1377,88.80376327917665
XMPtex_b1377,60.615913034208155
3PEPTtex_b1377,
ANHGMtex_b1377,18.54983057360736
FALDtex_b1377,91.08095909504308
