Reactions,Min Solutions,Max Solutions,Solution Biomass
ALATA_D2,0.0,11.65854070870718,0.8769972144269824
SHCHD2,0.00017601334093549212,0.0001955703788172144,0.8769972144269824
CPPPGO,0.0,0.1341645190880631,0.8769972144269824
GTHOr,0.0,1000.0,0.8769972144269824
DHORD5,0.0,1.8417058336822403,0.8769972144269824
GLYCTO2,0.0,31.085333333324314,0.8769972144269824
GLYCTO3,0.0,31.085333333325178,0.8769972144269824
GLYCTO4,0.0,31.085333333322136,0.8769972144269824
PFK_3,0.0,32.320587393218815,0.8769972144269824
TRPS2,0.0,14.513470320557568,0.8769972144269824
G3PD5,0.0,23.02481726217583,0.8769972144269824
EX_acgam_e,0.0,0.0,0.8769972144269824
EX_cellb_e,0.0,0.0,0.8769972144269824
EX_chol_e,0.0,0.0,0.8769972144269824
LEUTAi,0.35560298881169605,1.1665247279418582,0.8769972144269824
SHK3Dr,0.30081627122867205,1000.0,0.8769972144269824
G5SD,0.1744781573116377,18.77144594599971,0.8769972144269824
ALATA_L2,0.0,11.658540708686814,0.8769972144269824
MAN6PI,0.0,1000.0,0.8769972144269824
APRAUR,0.000352026681870994,0.27236015097679034,0.8769972144269824
DB4PS,0.0007040533637419872,0.5447203019535486,0.8769972144269824
RBFK,0.0001760133409355015,23.314176013341847,0.8769972144269824
ACP1_FMN,0.0,23.31399999999973,0.8769972144269824
RBFSb,0.0003520266818709936,0.2723601509767607,0.8769972144269824
EX_pi_e,0.0,999.2386389024824,0.8769972144269824
EX_h_e,0.0,1000.0,0.8769972144269824
DMATT,0.00021942470304965253,0.00024380522561072478,0.8769972144269824
GRTT,0.00021942470304965259,0.00024380522561069269,0.8769972144269824
UPP3S,0.00035202668187098434,0.13434053242901262,0.8769972144269824
UPPDC1,0.00017601334093549214,0.13416451908807075,0.8769972144269824
TMDPP,0.0,1000.0,0.8769972144269824
EX_ade_e,0.0,1.0429132494050606,0.8769972144269824
EX_4abut_e,0.0,1.313464788732463,0.8769972144269824
EX_ac_e,0.0,3.5867692307694496,0.8769972144269824
EX_akg_e,0.0,1.4571250000000204,0.8769972144269824
EX_ala__L_e,0.0,2.0273043478259765,0.8769972144269824
EX_arg__L_e,0.0,0.8326428571429387,0.8769972144269824
EX_asp__L_e,0.0,1.8285490196080005,0.8769972144269824
EX_cytd_e,0.0,0.6175894039735687,0.8769972144269824
EX_dcyt_e,0.0,0.0,0.8769972144269824
EX_fum_e,0.0,1.8651199999999575,0.8769972144269824
EX_glu__L_e,0.0,1.2952222222221592,0.8769972144269824
EX_gua_e,0.0,1.0790590870845185,0.8769972144269824
HCO3E,0.41487370545228996,1000.0,0.8769972144269824
IMPC,0.0,999.5717808525361,0.8769972144269824
IMPD,0.0,10.553757028399234,0.8769972144269824
ECOAH4,0.0,1000.0,0.8769972144269824
GLUTRS,0.002816213454967874,1.0747242594318596,0.8769972144269824
TMPPP,0.00017601334093549217,0.00019557037881721306,0.8769972144269824
URIK1,0.0,23.313999999998696,0.8769972144269824
URIK2,0.0,23.313999999996923,0.8769972144269824
CYTDK1,0.0,23.313999999998686,0.8769972144269824
CYTDK2,0.0,23.313999999997357,0.8769972144269824
XPPT,0.0,11.656999999999773,0.8769972144269824
HXPRT,0.0,11.656999999999915,0.8769972144269824
