Variable,Index,Value,Bounds
flux,EX_val__L_e,0.0,"[0, 1000.0]"
flux,EX_xan_e,0.0,"[0, 1000.0]"
flux,FMNAT,0.000165901746594438,"[0.0, 1000.0]"
flux,NADDP,0.0,"[0.0, 1000.0]"
flux,NMNAT,0.0,"[0.0, 1000.0]"
flux,HMPK1,0.0,"[0.0, 1000.0]"
flux,NDPK6,0.0,"[0, 1000.0]"
flux,NDPK8,0.0,"[0, 1000.0]"
flux,PYNP2r,0.0,"[0, 1000.0]"
flux,DURIPP,0.0,"[0, 1000.0]"
flux,PTRCTA,0.0,"[0.0, 1000.0]"
flux,CYSDS,0.0,"[0.0, 1000.0]"
flux,TRPAS2,0.0,"[0, 1000.0]"
flux,NDP3,0.0,"[0.0, 1000.0]"
flux,CDPPH,0.0,"[0.0, 1000.0]"
flux,NDP7,0.0,"[0.0, 1000.0]"
flux,EX_co2_e,29.4641051790273,"[0, 1000.0]"
flux,PMDPHT,0.000331803493188866,"[0.0, 1000.0]"
flux,ILETA,0.0,"[0, 1000.0]"
flux,VALTA,0.0,"[0, 1000.0]"
flux,ORPT,0.0,"[0, 1000.0]"
flux,RBFSa,0.000663606986377732,"[0.0, 1000.0]"
flux,DHAD2,0.216140217651715,"[0.0, 1000.0]"
flux,G1PP,0.0,"[0.0, 1000.0]"
flux,PFL,0.0,"[0.0, 1000.0]"
flux,FRD2,0.0,"[0.0, 1000.0]"
flux,FRD3,0.0,"[0.0, 1000.0]"
flux,POX,0.0,"[0.0, 1000.0]"
flux,PTAr,0.0,"[0, 1000.0]"
flux,ACKr,0.433119615438671,"[0, 1000.0]"
flux,EX_hxan_e,0.0,"[0, 1000.0]"
flux,EX_ile__L_e,0.0,"[0, 1000.0]"
flux,EX_lac__L_e,0.0,"[0, 1000.0]"
flux,EX_leu__L_e,0.0,"[0, 1000.0]"
flux,EX_no3_e,0.0,"[0, 1000.0]"
flux,EX_orn_e,0.0,"[0, 1000.0]"
flux,EX_pro__L_e,0.0,"[0, 1000.0]"
flux,EX_pyr_e,0.0,"[0, 1000.0]"
flux,EX_succ_e,0.0,"[0, 1000.0]"
flux,EX_thymd_e,0.0,"[0, 1000.0]"
flux,EX_tyr__L_e,0.0,"[0, 1000.0]"
flux,MOAT,0.0144743694248484,"[0.0, 1000.0]"
flux,UDCPDPS,4.09174711331548e-05,"[0.0, 1000.0]"
flux,USHD,0.0144743694248484,"[0.0, 1000.0]"
flux,LPADSS,0.0144743694248484,"[0.0, 1000.0]"
flux,TDSK,0.0144743694248484,"[0.0, 1000.0]"
flux,EX_btn_e,0.0,"[0, 1000.0]"
flux,EX_ptrc_e,0.0,"[0, 1000.0]"
flux,EX_spmd_e,0.0,"[0, 1000.0]"
flux,EX_thym_e,0.0,"[0, 1000.0]"
flux,EX_xtsn_e,0.0,"[0, 1000.0]"
flux,NTPP1,0.0,"[0.0, 1000.0]"
flux,NTPP2,0.0,"[0.0, 1000.0]"
flux,NTPTP1,0.0,"[0.0, 1000.0]"
flux,NTPTP2,0.0,"[0.0, 1000.0]"
flux,IPMD,0.335174348856207,"[0.0, 1000.0]"
