Variable,Index,Value
flux,rxn00411_c0,0.0
flux,rxn00412_c0,0.0
flux,rxn00414_c0,0.0
flux,rxn00416_c0,0.0
flux,rxn00420_c0,0.0
flux,rxn00423_c0,0.05497225190880957
flux,rxn00426_c0,0.0
flux,rxn00427_c0,0.0
flux,rxn00429_c0,0.0
flux,rxn00436_c0,0.0
flux,rxn00438_c0,0.0020926615778879007
flux,rxn00441_c0,0.0
flux,rxn00442_c0,0.0
flux,rxn00444_c0,0.0
flux,rxn00451_c0,0.0
flux,rxn00456_c0,0.0
flux,rxn00459_c0,17.973095574818558
flux,rxn00460_c0,0.0
flux,rxn00461_c0,0.0085228932466842
flux,rxn00463_c0,0.0
flux,rxn00467_c0,-0.17261163437660798
flux,rxn00468_c0,0.0
flux,rxn00469_c0,0.0
flux,rxn00470_c0,0.004185323155775814
flux,rxn00473_c0,0.0
flux,rxn00474_c0,0.03332747617767098
flux,rxn00483_c0,0.0
flux,rxn00490_c0,0.0
flux,rxn00493_c0,-0.10362288531985087
flux,rxn00499_c0,0.0
flux,rxn00500_c0,0.0
flux,rxn00501_c0,0.0
flux,rxn00502_c0,0.0
flux,rxn00503_c0,0.0
flux,rxn00504_c0,0.0
flux,rxn00505_c0,0.0
flux,rxn00506_c0,0.0
flux,rxn00507_c0,0.0
flux,rxn00508_c0,0.0
flux,rxn00509_c0,0.0
flux,rxn00511_c0,0.0
flux,rxn00512_c0,0.0
flux,rxn00513_c0,0.0
flux,rxn00514_c0,0.0
flux,rxn00515_c0,-1000.0
flux,rxn00517_c0,0.0
flux,rxn00520_c0,0.0
flux,rxn00527_c0,-0.07584998850506963
flux,rxn00532_c0,0.7538374574533009
flux,rxn00533_c0,0.0
flux,rxn00536_c0,-1000.0
flux,rxn00539_c0,0.0
flux,rxn00540_c0,0.0
flux,rxn00541_c0,0.0
flux,rxn00543_c0,1000.0
flux,rxn00545_c0,0.0
flux,rxn00546_c0,1000.0
flux,rxn00547_c0,0.0
flux,rxn00549_c0,0.0
flux,rxn00551_c0,2.3329760665769568
flux,rxn00552_c0,0.0
flux,rxn00554_c0,0.0
flux,rxn00555_c0,1000.0
flux,rxn00556_c0,0.0
flux,rxn00557_c0,0.0
flux,rxn00558_c0,4.957385533766569
flux,rxn00559_c0,1000.0
flux,rxn00560_c0,0.0
flux,rxn00566_c0,0.0
flux,rxn00567_c0,0.0
flux,rxn00569_c0,0.0
flux,rxn00572_c0,0.0
flux,rxn00575_c0,0.0
flux,rxn00598_c0,0.0
flux,rxn00601_c0,0.0
flux,rxn00604_c0,1000.0
flux,rxn00605_c0,-1000.0
flux,rxn00606_c0,0.0
flux,rxn00608_c0,0.0
flux,rxn00610_c0,0.0
flux,rxn00611_c0,0.0
flux,rxn00612_c0,0.0
flux,rxn00615_c0,0.13495235333748898
flux,rxn00623_c0,-0.14426519584128528
flux,rxn00629_c0,0.0
flux,rxn00634_c0,1000.0
flux,rxn00641_c0,0.0
flux,rxn00642_c0,0.0
flux,rxn00646_c0,0.0020926615778879007
flux,rxn00647_c0,0.0
flux,rxn00649_c0,0.05497225190880957
flux,rxn00650_c0,0.0
flux,rxn00653_c0,0.0
flux,rxn00654_c0,0.0
flux,rxn00657_c0,0.7538374574533009
flux,rxn00668_c0,0.0
flux,rxn00669_c0,-1000.0
flux,rxn00670_c0,0.0
flux,rxn00671_c0,0.0
flux,rxn00674_c0,0.0
flux,rxn00675_c0,0.0
flux,rxn00676_c0,0.0
flux,rxn00677_c0,1000.0
flux,rxn00679_c0,0.0
flux,rxn00684_c0,999.9784764048072
flux,rxn00686_c0,-1000.0
flux,rxn00689_c0,0.0
flux,rxn00690_c0,0.0
flux,rxn00691_c0,0.0
flux,rxn00692_c0,1000.0
flux,rxn00693_c0,0.09557092866610542
flux,rxn00695_c0,0.0
flux,rxn00701_c0,-995.0
flux,rxn00704_c0,-995.0426144662334
flux,rxn00706_c0,0.0
flux,rxn00707_c0,0.0
flux,rxn00708_c0,0.0
flux,rxn00709_c0,0.0
flux,rxn00710_c0,0.19326820571140105
flux,rxn00711_c0,0.0
flux,rxn00712_c0,0.0
flux,rxn00713_c0,0.0
flux,rxn00715_c0,0.0
flux,rxn00717_c0,0.0
flux,rxn00720_c0,0.0
flux,rxn00726_c0,0.03332747617767098
flux,rxn00727_c0,0.0
flux,rxn00735_c0,0.0
flux,rxn00737_c0,0.0
flux,rxn00742_c0,0.21675085411607142
flux,rxn00743_c0,0.0
flux,rxn00744_c0,0.0
flux,rxn00745_c0,0.0
flux,rxn00747_c0,-9.10127149921027
flux,rxn00752_c0,0.0
flux,rxn00758_c0,0.0
flux,rxn00762_c0,0.0
flux,rxn00763_c0,999.8843265542821
flux,rxn00765_c0,-1000.0
flux,rxn00768_c0,0.0
flux,rxn00769_c0,0.0
flux,rxn00770_c0,0.0
flux,rxn00772_c0,0.0
flux,rxn00776_c0,1000.0
flux,rxn00777_c0,999.2376377911573
flux,rxn00778_c0,999.9937220152665
flux,rxn00779_c0,0.0
flux,rxn00780_c0,0.0
flux,rxn00781_c0,17.973095574818558
flux,rxn00782_c0,0.0
flux,rxn00783_c0,0.0
flux,rxn00784_c0,0.0
flux,rxn00785_c0,1000.0
flux,rxn00786_c0,2.3329760665769754
flux,rxn00787_c0,0.0
flux,rxn00789_c0,-0.05054579362945333
flux,rxn00790_c0,-0.2713608106447509
flux,rxn00791_c0,-0.03332747617764653
flux,rxn00792_c0,0.0
flux,rxn00797_c0,0.0
flux,rxn00799_c0,-997.4674477587024
flux,rxn00800_c0,0.1805533169614364
flux,rxn00802_c0,0.1684263112208555
flux,rxn00806_c0,-0.25915110748223924
flux,rxn00808_c0,0.0
flux,rxn00816_c0,0.0
flux,rxn00817_c0,5.0
flux,rxn00818_c0,0.0
flux,rxn00819_c0,0.0
flux,rxn00821_c0,0.0
flux,rxn00830_c0,-0.11452619455735658
flux,rxn00831_c0,0.0
flux,rxn00832_c0,-0.32190660427420426
flux,rxn00834_c0,0.14135328731288155
flux,rxn00835_c0,0.0
flux,rxn00836_c0,0.0
flux,rxn00838_c0,0.18055331696139792
flux,rxn00839_c0,0.015245610459032832
flux,rxn00840_c0,0.0
flux,rxn00851_c0,0.0
flux,rxn00853_c0,0.0
flux,rxn00855_c0,0.0
flux,rxn00856_c0,0.0
flux,rxn00858_c0,0.0
flux,rxn00859_c0,0.0
flux,rxn00863_c0,0.050545793629451816
flux,rxn00865_c0,0.0
flux,rxn00869_c0,1000.0
flux,rxn00870_c0,-1000.0
flux,rxn00872_c0,0.0
flux,rxn00873_c0,0.0
flux,rxn00874_c0,0.10254777979912433
flux,rxn00875_c0,1000.0
flux,rxn00881_c0,0.0
flux,rxn00882_c0,0.0
flux,rxn00883_c0,0.0
flux,rxn00889_c0,0.0
flux,rxn00890_c0,0.0
flux,rxn00892_c0,0.0
flux,rxn00898_c0,0.0
flux,rxn00899_c0,0.0
flux,rxn00902_c0,-0.3105615278013829
flux,rxn00903_c0,-1000.0
flux,rxn00904_c0,999.7568954551218
flux,rxn00905_c0,-0.9373688872842649
flux,rxn00906_c0,1000.0
flux,rxn00907_c0,-999.404639923503
flux,rxn00908_c0,0.0
flux,rxn00910_c0,-0.09766359024399662
flux,rxn00912_c0,-0.9373688872842649
flux,rxn00913_c0,0.0
flux,rxn00914_c0,0.0
flux,rxn00915_c0,0.0
flux,rxn00916_c0,0.0
flux,rxn00917_c0,0.14135328731284777
flux,rxn00926_c0,0.0
flux,rxn00927_c0,999.9937220152664
flux,rxn00929_c0,0.0
flux,rxn00931_c0,-0.12460685180201381
flux,rxn00934_c0,1000.0
flux,rxn00938_c0,0.0
flux,rxn00942_c0,0.0
flux,rxn00943_c0,0.0
flux,rxn00946_c0,0.0
flux,rxn00947_c0,0.0
flux,rxn00948_c0,0.0
flux,rxn00949_c0,0.0
flux,rxn00950_c0,0.0
flux,rxn00955_c0,0.0062779847336287276
flux,rxn00957_c0,0.0
flux,rxn00966_c0,0.0
flux,rxn00972_c0,0.0
flux,rxn00973_c0,1000.0
flux,rxn00974_c0,1000.0
flux,rxn00975_c0,0.0
flux,rxn00977_c0,0.0
flux,rxn00979_c0,0.0
flux,rxn00980_c0,0.0
flux,rxn00986_c0,0.0
flux,rxn00989_c0,0.0
flux,rxn00990_c0,-997.8769995854169
flux,rxn00993_c0,0.0
flux,rxn00994_c0,-997.8769995854169
flux,rxn00997_c0,1000.0
flux,rxn00998_c0,-1000.0
flux,rxn01000_c0,0.10362288531981666
flux,rxn01011_c0,1000.0
flux,rxn01013_c0,-1000.0
flux,rxn01016_c0,1000.0
flux,rxn01018_c0,0.19326820571143344
flux,rxn01019_c0,0.1684263112208555
flux,rxn01021_c0,0.0020926615778762425
flux,rxn01022_c0,0.0
flux,rxn01025_c0,0.0
flux,rxn01028_c0,0.0
flux,rxn01032_c0,0.0
flux,rxn01043_c0,-1000.0
flux,rxn01044_c0,-1000.0
flux,rxn01048_c0,0.0
flux,rxn01053_c0,0.0
flux,rxn01056_c0,0.0
flux,rxn01068_c0,0.0
flux,rxn01069_c0,0.143739291830002
flux,rxn01073_c0,0.0
flux,rxn01075_c0,0.0
flux,rxn01079_c0,1000.0
flux,rxn01080_c0,1000.0
flux,rxn01094_c0,0.0
flux,rxn01099_c0,0.0
flux,rxn01100_c0,-17.973095574818558
flux,rxn01101_c0,0.0
flux,rxn01102_c0,0.0
flux,rxn01104_c0,0.0
flux,rxn01106_c0,-17.973095574818558
flux,rxn01107_c0,0.0
flux,rxn01111_c0,0.0
flux,rxn01114_c0,0.0
flux,rxn01115_c0,0.0
flux,rxn01116_c0,0.1494379987012735
flux,rxn01117_c0,-0.025568679740104017
flux,rxn01119_c0,0.0
flux,rxn01121_c0,0.0
flux,rxn01122_c0,0.0
flux,rxn01123_c0,0.0
flux,rxn01124_c0,0.0
flux,rxn01127_c0,0.0
flux,rxn01128_c0,0.0
flux,rxn01129_c0,0.0
flux,rxn01132_c0,0.0
flux,rxn01134_c0,0.0
flux,rxn01136_c0,0.0
flux,rxn01137_c0,0.0
flux,rxn01138_c0,-1000.0
flux,rxn01143_c0,0.0
flux,rxn01145_c0,0.0
flux,rxn01146_c0,0.0
flux,rxn01152_c0,0.0
flux,rxn01153_c0,0.0
flux,rxn01169_c0,0.0
flux,rxn01171_c0,5.0
flux,rxn01174_c0,1000.0
flux,rxn01176_c0,0.0
flux,rxn01187_c0,0.0
flux,rxn01199_c0,0.0
flux,rxn01200_c0,-0.20130395321211836
flux,rxn01201_c0,1000.0
flux,rxn01204_c0,0.0
flux,rxn01207_c0,0.05141042031904342
flux,rxn01210_c0,0.0
flux,rxn01211_c0,0.5953600764969451
flux,rxn01213_c0,0.012708216402415928
flux,rxn01216_c0,0.0
flux,rxn01217_c0,0.0
flux,rxn01218_c0,0.0
flux,rxn01219_c0,0.0
flux,rxn01220_c0,0.0
flux,rxn01221_c0,0.0
flux,rxn01225_c0,0.0
flux,rxn01226_c0,0.0
flux,rxn01228_c0,0.0
flux,rxn01231_c0,0.0
flux,rxn01233_c0,0.0
flux,rxn01241_c0,-0.7704169267956331
flux,rxn01242_c0,0.0
flux,rxn01243_c0,0.0
flux,rxn01249_c0,0.0
flux,rxn01251_c0,0.0
flux,rxn01252_c0,0.0
flux,rxn01255_c0,0.21698567315835457
flux,rxn01256_c0,0.17947287382490779
flux,rxn01257_c0,0.0
flux,rxn01258_c0,0.004185323155752485
flux,rxn01261_c0,0.0
flux,rxn01265_c0,-0.0020926615778762425
flux,rxn01268_c0,0.07584998850509114
flux,rxn01270_c0,0.0
flux,rxn01273_c0,0.0
flux,rxn01274_c0,0.0
flux,rxn01275_c0,0.0
flux,rxn01276_c0,1000.0
flux,rxn01278_c0,-1000.0
flux,rxn01280_c0,0.0
flux,rxn01281_c0,0.0
flux,rxn01286_c0,0.0
flux,rxn01290_c0,1000.0
flux,rxn01291_c0,0.0
flux,rxn01292_c0,1000.0
flux,rxn01296_c0,0.0
flux,rxn01297_c0,0.0
flux,rxn01299_c0,0.0
flux,rxn01300_c0,0.14373929182998094
flux,rxn01301_c0,0.0
flux,rxn01302_c0,-0.4497830898784514
flux,rxn01304_c0,0.30604379804847964
flux,rxn01305_c0,0.0
flux,rxn01308_c0,0.0
flux,rxn01310_c0,-1000.0
flux,rxn01313_c0,1000.0
flux,rxn01314_c0,-1000.0
flux,rxn01322_c0,0.0
flux,rxn01329_c0,0.0
flux,rxn01331_c0,0.0020926615778762425
flux,rxn01332_c0,0.21698567315831951
flux,rxn01333_c0,-6.485409606690041
flux,rxn01334_c0,6.652621986915392
flux,rxn01338_c0,0.0
flux,rxn01343_c0,6.6526219869154355
flux,rxn01345_c0,0.0
flux,rxn01346_c0,0.0
flux,rxn01347_c0,0.0
flux,rxn01348_c0,0.0
flux,rxn01351_c0,0.0
flux,rxn01353_c0,0.01783406424704026
flux,rxn01354_c0,0.0
flux,rxn01358_c0,1000.0
flux,rxn01362_c0,-0.19326820571143344
flux,rxn01363_c0,-1000.0
flux,rxn01364_c0,0.0
flux,rxn01366_c0,-1000.0
flux,rxn01368_c0,0.0
flux,rxn01370_c0,0.0
flux,rxn01385_c0,-1000.0
flux,rxn01387_c0,1000.0
flux,rxn01388_c0,1000.0
flux,rxn01389_c0,0.0
flux,rxn01390_c0,0.0
flux,rxn01391_c0,0.0
flux,rxn01392_c0,0.0
flux,rxn01395_c0,0.0
flux,rxn01396_c0,0.0
flux,rxn01398_c0,0.0
flux,rxn01403_c0,0.0
flux,rxn01406_c0,0.0020926615778762425
flux,rxn01416_c0,0.0
flux,rxn01418_c0,0.0
flux,rxn01419_c0,0.0
flux,rxn01423_c0,0.0
flux,rxn01424_c0,0.0
flux,rxn01434_c0,0.16842631122084367
flux,rxn01439_c0,0.0
flux,rxn01445_c0,0.0
flux,rxn01446_c0,0.0
flux,rxn01447_c0,0.0
flux,rxn01451_c0,0.0
flux,rxn01453_c0,0.0
flux,rxn01457_c0,0.0
