Level,Biomass (1/hr),N Reactions,Mean FVI,Median FVI,Std FVI,Min FVI,Max FVI,% Zero Flux,% High Variability (FVI > 1)
Level 1: Baseline GEM,0.8769972144269695,2712,37.17265073105901,1.0419664804467663,190.42507715051363,0.0,2000.0,35.140117994100294,50.958702064896755
Level 2: Single Enzyme,0.876997214430352,2712,29.510352309892834,0.0,190.42055586081108,0.0,2000.0,80.08849557522124,3.4292035398230087
Level 3a: + Isoenzymes,0.876997214425869,2712,17.810731652080843,0.0,136.98660786117233,0.0,2000.0,54.60914454277286,3.4292035398230087
Level 3b: + Complexes,0.876997214430352,2712,29.510352309892834,0.0,190.42055586081108,0.0,2000.0,80.08849557522124,3.4292035398230087
Level 3c: + Promiscuous,0.0473844538850419,2712,3.036435213934837,2.48006607948998e-05,55.868951408268316,0.0,1108.672255917566,37.75811209439528,0.2949852507374631
Level 4: All Constraints,0.0393512188986544,2712,60.848141588152245,8.77532181439993e-06,166.0899899757216,0.0,1000.0,48.525073746312685,43.43657817109145
Level 5: Post-Tuned,0.172992897414076,2712,0.005491986986973225,3.7349125538784064e-05,0.04944966420690217,0.0,0.909227942826306,37.352507374631266,0.0
