Reactions,Min Solutions,Max Solutions,Solution Biomass
PFK,7.47738196211251,7.47738196222503,0.873921506968154
PFL,0.0,0.0,0.873921506968154
PGI,4.86086114632838,4.86086114668035,0.873921506968154
PGK,-16.0235261432414,-16.0235261431034,0.873921506968154
PGL,4.95998494441855,4.9599849447186,0.873921506968154
ACALD,0.0,0.0,0.873921506968154
AKGt2r,0.0,0.0,0.873921506968154
PGM,-14.7161395687831,-14.7161395687069,0.873921506968154
PIt2r,3.21489504768419,3.21489504768419,0.873921506968154
ALCD2x,0.0,0.0,0.873921506968154
ACALDt,0.0,0.0,0.873921506968154
ACKr,0.0,0.0,0.873921506968154
PPC,2.50430947011747,2.50430947045086,0.873921506968154
ACONTa,6.00724957530736,6.00724957540729,0.873921506968154
ACONTb,6.00724957530088,6.00724957541615,0.873921506968154
ATPM,8.39,8.39000000006251,0.873921506968154
PPCK,0.0,0.0,0.873921506968154
ACt2r,0.0,0.0,0.873921506968154
PPS,0.0,0.0,0.873921506968154
ADK1,0.0,0.0,0.873921506968154
AKGDH,5.06437566118932,5.06437566153906,0.873921506968154
ATPS4r,45.5140097743897,45.5140097745896,0.873921506968154
PTAr,0.0,0.0,0.873921506968154
PYK,1.75817744404444,1.75817744431111,0.873921506968154
BIOMASS_Ecoli_core_w_GAM,0.873921506968154,0.873921506968154,0.873921506968154
PYRt2,0.0,0.0,0.873921506968154
CO2t,-22.8098333102213,-22.8098333101796,0.873921506968154
RPE,2.67848185040339,2.67848185060336,0.873921506968154
CS,6.0072495753074,6.00724957540742,0.873921506968154
RPI,-2.2815030941149,-2.28150309401474,0.873921506968154
SUCCt2_2,0.0,0.0,0.873921506968154
CYTBD,43.5989853119718,43.5989853120274,0.873921506968154
D_LACt2,0.0,0.0,0.873921506968154
ENO,14.716139568696,14.7161395687958,0.873921506968154
SUCCt3,0.0,0.0,0.873921506968154
ETOHt2r,0.0,0.0,0.873921506968154
SUCDi,5.06437566144024,1000.0,0.873921506968154
SUCOAS,-5.06437566154375,-5.06437566115994,0.873921506968154
TALA,1.49698375721925,1.49698375730111,0.873921506968154
THD2,0.0,2.50042242933138e-10,0.873921506968154
TKT1,1.496983757213,1.49698375730634,0.873921506968154
TKT2,1.18149809320164,1.18149809328725,0.873921506968154
TPI,7.47738196211571,7.47738196220882,0.873921506968154
EX_ac_e,0.0,0.0,0.873921506968154
EX_acald_e,0.0,0.0,0.873921506968154
EX_akg_e,0.0,0.0,0.873921506968154
EX_co2_e,22.8098333101796,22.8098333102213,0.873921506968154
EX_etoh_e,0.0,0.0,0.873921506968154
EX_for_e,0.0,0.0,0.873921506968154
EX_fru_e,0.0,0.0,0.873921506968154
EX_fum_e,0.0,0.0,0.873921506968154
EX_glc__D_e,-10.0,-9.99999999999699,0.873921506968154
EX_gln__L_e,0.0,0.0,0.873921506968154
EX_glu__L_e,0.0,0.0,0.873921506968154
EX_h_e,17.5308654297794,17.5308654298211,0.873921506968154
EX_h2o_e,29.1758271355373,29.1758271355789,0.873921506968154
EX_lac__D_e,0.0,0.0,0.873921506968154
EX_mal__L_e,0.0,0.0,0.873921506968154
EX_nh4_e,-4.76531919320071,-4.76531919319639,0.873921506968154
EX_o2_e,-21.7994926560137,-21.7994926559859,0.873921506968154
EX_pi_e,-3.21489504768419,-3.21489504768419,0.873921506968154
EX_pyr_e,0.0,0.0,0.873921506968154
EX_succ_e,0.0,0.0,0.873921506968154
FBA,7.47738196211583,7.47738196220882,0.873921506968154
FBP,0.0,0.0,0.873921506968154
FORt2,0.0,1.74841852367853e-10,0.873921506968154
FORt,-2.4996931619226e-10,0.0,0.873921506968154
FRD7,0.0,994.935624338552,0.873921506968154
FRUpts2,0.0,0.0,0.873921506968154
FUM,5.06437566143359,5.06437566154852,0.873921506968154
FUMt2_2,0.0,0.0,0.873921506968154
G6PDH2r,4.95998494441835,4.95998494471826,0.873921506968154
GAPD,16.0235261431164,16.0235261432258,0.873921506968154
GLCpts,9.99999999999699,10.0,0.873921506968154
GLNS,0.223461729331757,0.223461729394268,0.873921506968154
GLNabc,0.0,0.0,0.873921506968154
GLUDy,-4.54185746386895,-4.5418574638021,0.873921506968154
GLUN,0.0,0.0,0.873921506968154
GLUSy,0.0,0.0,0.873921506968154
GLUt2r,0.0,0.0,0.873921506968154
GND,4.95998494443858,4.95998494470013,0.873921506968154
H2Ot,-29.1758271355789,-29.1758271355373,0.873921506968154
ICDHyr,6.00724957509271,6.00724957540058,0.873921506968154
ICL,0.0,2.50042242933137e-10,0.873921506968154
LDH_D,0.0,0.0,0.873921506968154
MALS,0.0,2.50042242933137e-10,0.873921506968154
MALt2_2,0.0,0.0,0.873921506968154
MDH,5.0643756614229,5.06437566168972,0.873921506968154
ME1,0.0,0.0,0.873921506968154
ME2,0.0,1.13789334390263e-10,0.873921506968154
NADH16,38.5346096504884,38.5346096505884,0.873921506968154
NADTRHD,0.0,2.05252934933332e-10,0.873921506968154
NH4t,4.76531919319639,4.76531919320071,0.873921506968154
O2t,21.7994926559859,21.7994926560137,0.873921506968154
PDH,9.28253259912349,9.28253259937353,0.873921506968154
