Reactions,Min Solutions,Max Solutions,Solution Biomass
PFK,7.47738196213845,7.47738196219153,0.873921506968396
PFL,0.0,0.0,0.873921506968396
PGI,4.86086114640091,4.8608611466002,0.873921506968396
PGK,-16.0235261431942,-16.0235261431476,0.873921506968396
PGL,4.95998494450222,4.9599849446429,0.873921506968396
ACALD,0.0,0.0,0.873921506968396
AKGt2r,0.0,0.0,0.873921506968396
PGM,-14.7161395687696,-14.716139568723,0.873921506968396
PIt2r,3.21489504768283,3.21489504768647,0.873921506968396
ALCD2x,0.0,0.0,0.873921506968396
ACALDt,0.0,0.0,0.873921506968396
ACKr,0.0,0.0,0.873921506968396
PPC,2.50430947025066,2.50430947040793,0.873921506968396
ACONTa,6.00724957532998,6.00724957537727,0.873921506968396
ACONTb,6.00724957532998,6.00724957537727,0.873921506968396
ATPM,8.39,8.39000000002949,0.873921506968396
PPCK,0.0,0.0,0.873921506968396
ACt2r,0.0,0.0,0.873921506968396
PPS,0.0,0.0,0.873921506968396
ADK1,0.0,0.0,0.873921506968396
AKGDH,5.06437566134383,5.06437566150897,0.873921506968396
ATPS4r,45.5140097744597,45.5140097745541,0.873921506968396
PTAr,0.0,0.0,0.873921506968396
PYK,1.75817744407824,1.75817744420406,0.873921506968396
BIOMASS_Ecoli_core_w_GAM,0.873921506968396,0.873921506968396,0.873921506968396
PYRt2,0.0,0.0,0.873921506968396
CO2t,-22.8098333102129,-22.8098333101931,0.873921506968396
RPE,2.67848185045955,2.67848185055402,0.873921506968396
CS,6.00724957532996,6.00724957537715,0.873921506968396
RPI,-2.28150309408886,-2.28150309404271,0.873921506968396
SUCCt2_2,0.0,0.0,0.873921506968396
CYTBD,43.5989853119885,43.5989853120147,0.873921506968396
D_LACt2,0.0,0.0,0.873921506968396
ENO,14.7161395687227,14.7161395687694,0.873921506968396
SUCCt3,0.0,0.0,0.873921506968396
ETOHt2r,0.0,0.0,0.873921506968396
SUCDi,5.06437566146191,1000.0,0.873921506968396
SUCOAS,-5.0643756615093,-5.06437566134366,0.873921506968396
TALA,1.49698375725927,1.49698375726302,0.873921506968396
THD2,0.0,1.17959041956995e-10,0.873921506968396
TKT1,1.49698375728997,1.49698375723665,0.873921506968396
TKT2,1.18149809324166,1.18149809324973,0.873921506968396
TPI,7.47738196214073,7.47738196218324,0.873921506968396
EX_ac_e,0.0,0.0,0.873921506968396
EX_acald_e,0.0,0.0,0.873921506968396
EX_akg_e,0.0,0.0,0.873921506968396
EX_co2_e,22.8098333101931,22.8098333102129,0.873921506968396
EX_etoh_e,0.0,0.0,0.873921506968396
EX_for_e,0.0,0.0,0.873921506968396
EX_fru_e,0.0,0.0,0.873921506968396
EX_fum_e,0.0,0.0,0.873921506968396
EX_glc__D_e,-10.0,-9.9999999999981,0.873921506968396
EX_gln__L_e,0.0,0.0,0.873921506968396
EX_glu__L_e,0.0,0.0,0.873921506968396
EX_h_e,17.5308654297874,17.5308654298073,0.873921506968396
EX_h2o_e,29.1758271355533,29.1758271355728,0.873921506968396
EX_lac__D_e,0.0,0.0,0.873921506968396
EX_mal__L_e,0.0,0.0,0.873921506968396
EX_nh4_e,-4.76531919319939,-4.765319193197,0.873921506968396
EX_o2_e,-21.7994926560073,-21.7994926559942,0.873921506968396
EX_pi_e,-3.21489504768647,-3.21489504768283,0.873921506968396
EX_pyr_e,0.0,0.0,0.873921506968396
EX_succ_e,0.0,0.0,0.873921506968396
FBA,7.47738196213845,7.47738196218552,0.873921506968396
FBP,0.0,0.0,0.873921506968396
FORt2,0.0,0.0,0.873921506968396
FORt,-1.17966300265952e-10,0.0,0.873921506968396
FRD7,0.0,994.935624338541,0.873921506968396
FRUpts2,0.0,0.0,0.873921506968396
FUM,5.06437566145155,5.06437566152442,0.873921506968396
FUMt2_2,0.0,0.0,0.873921506968396
G6PDH2r,4.95998494450191,4.95998494464425,0.873921506968396
GAPD,16.0235261431476,16.0235261431943,0.873921506968396
GLCpts,9.9999999999981,10.0,0.873921506968396
GLNS,0.223461729331819,0.223461729361307,0.873921506968396
GLNabc,0.0,0.0,0.873921506968396
GLUDy,-4.54185746386793,-4.54185746383575,0.873921506968396
GLUN,0.0,0.0,0.873921506968396
GLUSy,0.0,0.0,0.873921506968396
GLUt2r,0.0,0.0,0.873921506968396
GND,4.95998494450664,4.95998494463897,0.873921506968396
H2Ot,-29.1758271355728,-29.1758271355533,0.873921506968396
ICDHyr,6.00724957521197,6.00724957537727,0.873921506968396
ICL,0.0,1.17959041956989e-10,0.873921506968396
LDH_D,0.0,0.0,0.873921506968396
MALS,0.0,1.17958851691166e-10,0.873921506968396
MALt2_2,0.0,0.0,0.873921506968396
MDH,5.06437566145405,5.06437566157956,0.873921506968396
ME1,0.0,0.0,0.873921506968396
ME2,0.0,0.0,0.873921506968396
NADH16,38.5346096505058,38.5346096505529,0.873921506968396
NADTRHD,0.0,0.0,0.873921506968396
NH4t,4.765319193197,4.76531919319939,0.873921506968396
O2t,21.7994926559942,21.7994926560073,0.873921506968396
PDH,9.28253259914679,9.28253259926474,0.873921506968396
