Reactions,Min Solutions,Max Solutions,Solution Biomass
PFK,1.1717056706103686,25.290643765944303,0.8739215069684303
PFL,0.0,11.322324024008621,0.8739215069684303
PGI,-14.299039254154549,9.838761481964324,0.8739215069684303
PGK,-17.90916901222325,-9.86323543351696,0.8739215069684303
PGL,0.0,24.137800736118866,0.8739215069684303
ACALD,-2.5423703703703757,0.0,0.8739215069684303
AKGt2r,-1.4300833333333365,0.0,0.8739215069684303
PGM,-16.732521095240948,-8.686587516534663,0.8739215069684303
PIt2r,2.89340554291629,3.2148950476847684,0.8739215069684303
ALCD2x,-2.214322580645166,0.0,0.8739215069684303
ACALDt,-2.5423703703703793,0.0,0.8739215069684303
ACKr,-3.8135555555555687,0.0,0.8739215069684303
PPC,0.0,20.346865929486935,0.8739215069684303
ACONTa,0.8485865224814169,8.8945201011877,0.8739215069684303
ACONTb,0.8485865224814146,8.894520101187702,0.8739215069684303
ATPM,8.39,25.551000000000048,0.8739215069684303
PPCK,0.0,17.161000000000065,0.8739215069684303
ACt2r,-3.8135555555555607,0.0,0.8739215069684303
PPS,0.0,17.161000000000048,0.8739215069684303
ADK1,0.0,17.16100000000006,0.8739215069684303
AKGDH,0.0,8.04593357870629,0.8739215069684303
ATPS4r,34.82561783032093,59.381062368566155,0.8739215069684303
PTAr,4.1725456979433804e-16,3.813555555555564,0.8739215069684303
PYK,0.0,21.38299288752865,0.8739215069684303
BIOMASS_Ecoli_core_w_GAM,0.7865293562715873,0.8739215069684303,0.8739215069684303
PYRt2,-2.5423703703703784,0.0,0.8739215069684303
CO2t,-26.528849979184468,-15.206525955175866,0.8739215069684303
RPE,-0.6209090068714795,15.526509856124552,0.8739215069684303
CS,0.8485865224814123,8.894520101187698,0.8739215069684303
RPI,-8.611290879994312,-0.5653573012880171,0.8739215069684303
SUCCt2_2,0.0,22.881333333333398,0.8739215069684303
CYTBD,35.98486455857555,51.23908678079778,0.8739215069684303
D_LACt2,-2.1451250000000055,0.0,0.8739215069684303
ENO,8.686587516534663,16.732521095240955,0.8739215069684303
SUCCt3,0.0,22.881333333333384,0.8739215069684303
ETOHt2r,-2.214322580645169,0.0,0.8739215069684303
SUCDi,0.0,1000.0,0.8739215069684303
SUCOAS,-8.045933578706288,0.0,0.8739215069684303
TALA,-0.15453620107026586,7.905223476868934,0.8739215069684303
THD2,0.0,37.041988708431,0.8739215069684303
TKT1,-0.15453620107026586,7.905223476869308,0.8739215069684303
TKT2,-0.46637280580121,7.621286379255257,0.8739215069684303
TPI,1.171705670610375,9.217639249316655,0.8739215069684303
EX_ac_e,0.0,3.8135555555555625,0.8739215069684303
EX_acald_e,0.0,2.542370370370376,0.8739215069684303
EX_akg_e,0.0,1.4300833333333365,0.8739215069684303
EX_co2_e,15.206525955175865,26.528849979184493,0.8739215069684303
EX_etoh_e,0.0,2.2143225806451676,0.8739215069684303
EX_for_e,0.0,11.322324024008633,0.8739215069684303
EX_fru_e,0.0,0.0,0.8739215069684303
EX_fum_e,0.0,0.0,0.8739215069684303
EX_glc__D_e,-10.0,-9.04661111111111,0.8739215069684303
EX_gln__L_e,0.0,0.0,0.8739215069684303
EX_glu__L_e,0.0,1.2711851851851865,0.8739215069684303
EX_h_e,15.777778886808095,27.100102910816652,0.8739215069684303
EX_h2o_e,20.935920398000597,32.258244422009234,0.8739215069684303
EX_lac__D_e,0.0,2.1451250000000073,0.8739215069684303
EX_mal__L_e,0.0,0.0,0.8739215069684303
EX_nh4_e,-5.559972459062899,-4.28878727387771,0.8739215069684303
EX_o2_e,-25.619543390398857,-17.992432279287772,0.8739215069684303
EX_pi_e,-3.2148950476847578,-2.893405542916291,0.8739215069684303
EX_pyr_e,0.0,2.5423703703703757,0.8739215069684303
EX_succ_e,0.0,1.6742439024390277,0.8739215069684303
FBA,1.1717056706103732,9.217639249316653,0.8739215069684303
FBP,0.0,17.161000000000055,0.8739215069684303
FORt2,0.0,68.64400000000015,0.8739215069684303
FORt,-68.64400000000019,0.0,0.8739215069684303
FRD7,0.0,1000.0,0.8739215069684303
FRUpts2,0.0,0.0,0.8739215069684303
FUM,-0.5129141697365568,8.045933578706293,0.8739215069684303
FUMt2_2,0.0,0.0,0.8739215069684303
G6PDH2r,0.0,24.13780073611886,0.8739215069684303
GAPD,9.86323543351696,17.909169012223245,0.8739215069684303
GLCpts,9.046611111111114,10.000000000000002,0.8739215069684303
GLNS,0.20111555639864487,17.362115556398685,0.8739215069684303
GLNabc,0.0,0.0,0.8739215069684303
GLUDy,-5.358856902664251,13.073328282520958,0.8739215069684303
GLUN,0.0,17.161000000000055,0.8739215069684303
GLUSy,0.0,17.161000000000037,0.8739215069684303
GLUt2r,-1.2711851851851883,0.0,0.8739215069684303
GND,0.0,24.13780073611885,0.8739215069684303
H2Ot,-32.258244422009234,-20.935920398000597,0.8739215069684303
ICDHyr,0.8485865224814128,8.894520101187695,0.8739215069684303
ICL,0.0,8.04593357870628,0.8739215069684303
LDH_D,-2.1451250000000015,0.0,0.8739215069684303
MALS,0.0,8.045933578706283,0.8739215069684303
MALt2_2,0.0,0.0,0.8739215069684303
MDH,-3.2497411899357513,16.091867157412587,0.8739215069684303
ME1,0.0,11.935888812258316,0.8739215069684303
ME2,0.0,15.318641557995171,0.8739215069684303
NADH16,32.65914943823516,51.23908678079777,0.8739215069684303
NADTRHD,0.0,44.75958304596864,0.8739215069684303
NH4t,4.288787273877711,5.559972459062898,0.8739215069684303
O2t,17.992432279287776,25.619543390398885,0.8739215069684303
PDH,0.0,19.88820840132864,0.8739215069684303
