Level,Biomass (1/hr),N Reactions,Mean FVI,Median FVI,Std FVI,Min FVI,Max FVI,% Zero Flux,% High Variability (FVI > 1)
Level 1: Baseline GEM,0.8739215069684303,95,31.844842431285855,8.045933578706288,143.251120878803,0.0,1000.0,8.421052631578947,86.31578947368422
Level 2: Single Enzyme,0.873921506968154,95,20.946013144047544,2.779998453661392e-11,143.590505369232,0.0,994.9356243385597,44.21052631578947,2.1052631578947367
Level 3a: + Isoenzymes,0.873921506968396,95,20.946013144003555,3.640199253140963e-12,143.59050536923607,0.0,994.935624338541,45.26315789473684,2.1052631578947367
Level 3b: + Complexes,0.873921506968154,95,20.946013144047544,2.779998453661392e-11,143.590505369232,0.0,994.9356243385597,44.21052631578947,2.1052631578947367
Level 3c: + Promiscuous,0.87392150696837,95,3.0495769145251153,1.2079226507921703e-13,20.905662920599394,0.0,144.854903439696,49.473684210526315,2.1052631578947367
Level 4: All Constraints,0.873921506968478,95,2.8722086946265466,0.0,19.689756477840366,0.0,136.42991299445168,50.526315789473685,2.1052631578947367
Level 5: Post-Tuned,0.873921506968478,95,2.8722086946265466,0.0,19.689756477840366,0.0,136.42991299445168,50.526315789473685,2.1052631578947367
