Level,Biomass (1/hr),N Reactions,Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1000),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8739215069684303,95,0.3500680212915434,0.8258078136061408,0.9631237560217428,-5.411725899036811,2.389299833696272,0.0,0.9999999999941729,8.421052631578947,7.368421052631578,31.844842431285855,8.045933578706288,1000.0,2.1052631578947367,2,8,7
Level 2: Single Enzyme,0.873921506968154,95,0.04533565092394492,0.0,0.2774080437378282,-1.6668030670473983,0.9999999999998994,0.0,1.0470607350408822e-11,44.21052631578947,0.0,20.946013144047544,2.779998453661392e-11,994.9356243385597,0.0,0,42,0
Level 3a: + Isoenzymes,0.873921506968396,95,-0.031078523381558476,0.0,0.6986226402647463,-6.565976217680742,0.9999999999998994,0.0,2.9950288585904804e-12,45.26315789473684,0.0,20.946013144003555,3.640199253140963e-12,994.935624338541,0.0,0,43,0
Level 3b: + Complexes,0.873921506968154,95,0.04533565092394492,0.0,0.2774080437378282,-1.6668030670473983,0.9999999999998994,0.0,1.0470607350408822e-11,44.21052631578947,0.0,20.946013144047544,2.779998453661392e-11,994.9356243385597,0.0,0,42,0
Level 3c: + Promiscuous,0.87392150696837,95,0.02036469816402278,0.0,0.13968677975995505,-2.5482375915644762e-12,0.9999999999993098,0.0,2.6106532313231745e-13,49.473684210526315,0.0,3.0495769145251153,1.2079226507921703e-13,144.854903439696,0.0,0,47,0
Level 4: All Constraints,0.873921506968478,95,0.02032515200211153,0.0,0.13942547497042657,-1.3787568018875008e-11,0.9999999999992671,-2.776995706631283e-13,0.0,50.526315789473685,0.0,2.8722086946265466,0.0,136.42991299445168,0.0,0,48,0
Level 5: Post-Tuned,0.873921506968478,95,0.02032515200211153,0.0,0.13942547497042657,-1.3787568018875008e-11,0.9999999999992671,-2.776995706631283e-13,0.0,50.526315789473685,0.0,2.8722086946265466,0.0,136.42991299445168,0.0,0,48,0
