Reactions,Min Solutions,Max Solutions,Solution Biomass
PFK,7.47738196215679,7.47738196216507,0.87392150696837
PFL,0.0,0.0,0.87392150696837
PGI,4.86086114647674,4.86086114651937,0.87392150696837
PGK,-16.0235261431735,-16.0235261431621,0.87392150696837
PGL,4.959984944563,4.95998494458509,0.87392150696837
ACALD,0.0,0.0,0.87392150696837
AKGt2r,0.0,0.0,0.87392150696837
PGM,-14.7161395687467,-14.716139568739,0.87392150696837
PIt2r,3.21489504768454,3.21489504768488,0.87392150696837
ALCD2x,0.0,0.0,0.87392150696837
ACALDt,0.0,0.0,0.87392150696837
ACKr,0.0,0.0,0.87392150696837
PPC,2.50430947035041,2.50430947037495,0.87392150696837
ACONTa,6.00724957534669,6.00724957535431,0.87392150696837
ACONTb,6.00724957534908,6.00724957535158,0.87392150696837
ATPM,8.39,8.3900000000046,0.87392150696837
PPCK,0.0,0.0,0.87392150696837
ACt2r,0.0,0.0,0.87392150696837
PPS,0.0,0.0,0.87392150696837
ADK1,0.0,0.0,0.87392150696837
AKGDH,5.06437566146042,5.06437566148601,0.87392150696837
ATPS4r,45.5140097745063,45.5140097745211,0.87392150696837
PTAr,0.0,0.0,0.87392150696837
PYK,1.75817744410204,1.75817744412155,0.87392150696837
BIOMASS_Ecoli_core_w_GAM,0.87392150696837,0.87392150696837,0.87392150696837
PYRt2,0.0,0.0,0.87392150696837
CO2t,-22.8098333102051,-22.809833310202,0.87392150696837
RPE,2.67848185050002,2.67848185051434,0.87392150696837
CS,6.0072495753469,6.00724957535427,0.87392150696837
RPI,-2.28150309407044,-2.28150309406328,0.87392150696837
SUCCt2_2,0.0,0.0,0.87392150696837
CYTBD,43.5989853119938,43.5989853119981,0.87392150696837
D_LACt2,0.0,0.0,0.87392150696837
ENO,14.7161395687393,14.7161395687466,0.87392150696837
SUCCt3,0.0,0.0,0.87392150696837
ETOHt2r,0.0,0.0,0.87392150696837
SUCDi,5.06437566147865,149.919279101172,0.87392150696837
SUCOAS,-5.06437566148611,-5.0643756614603,0.87392150696837
TALA,1.49698375724915,1.49698375727348,0.87392150696837
THD2,0.0,0.0,0.87392150696837
TKT1,1.4969837572562,1.49698375726666,0.87392150696837
TKT2,1.18149809323506,1.18149809325587,0.87392150696837
TPI,7.47738196215687,7.47738196216415,0.87392150696837
EX_ac_e,0.0,0.0,0.87392150696837
EX_acald_e,0.0,0.0,0.87392150696837
EX_akg_e,0.0,0.0,0.87392150696837
EX_co2_e,22.8098333102021,22.809833310205,0.87392150696837
EX_etoh_e,0.0,0.0,0.87392150696837
EX_for_e,0.0,0.0,0.87392150696837
EX_fru_e,0.0,0.0,0.87392150696837
EX_fum_e,0.0,0.0,0.87392150696837
EX_glc__D_e,-10.0,-9.99999999999977,0.87392150696837
EX_gln__L_e,0.0,0.0,0.87392150696837
EX_glu__L_e,0.0,0.0,0.87392150696837
EX_h_e,17.5308654297848,17.5308654297886,0.87392150696837
EX_h2o_e,29.1758271355626,29.1758271355654,0.87392150696837
EX_lac__D_e,0.0,0.0,0.87392150696837
EX_mal__L_e,0.0,0.0,0.87392150696837
EX_nh4_e,-4.76531919319712,-4.765319193197,0.87392150696837
EX_o2_e,-21.7994926559991,-21.7994926559969,0.87392150696837
EX_pi_e,-3.21489504768488,-3.21489504768454,0.87392150696837
EX_pyr_e,0.0,0.0,0.87392150696837
EX_succ_e,0.0,0.0,0.87392150696837
FBA,7.47738196215448,7.47738196216665,0.87392150696837
FBP,0.0,0.0,0.87392150696837
FORt2,0.0,0.0,0.87392150696837
FORt,0.0,0.0,0.87392150696837
FRD7,0.0,144.854903439696,0.87392150696837
FRUpts2,0.0,0.0,0.87392150696837
FUM,5.06437566147861,5.06437566148588,0.87392150696837
FUMt2_2,0.0,0.0,0.87392150696837
G6PDH2r,4.95998494456308,4.9599849445849,0.87392150696837
GAPD,16.0235261431638,16.0235261431714,0.87392150696837
GLCpts,9.99999999999977,10.0,0.87392150696837
GLNS,0.223461729331812,0.223461729336414,0.87392150696837
GLNabc,0.0,0.0,0.87392150696837
GLUDy,-4.54185746386577,-4.54185746386077,0.87392150696837
GLUN,0.0,0.0,0.87392150696837
GLUSy,0.0,0.0,0.87392150696837
GLUt2r,0.0,0.0,0.87392150696837
GND,4.959984944563,4.95998494458509,0.87392150696837
H2Ot,-29.1758271355659,-29.1758271355628,0.87392150696837
ICDHyr,6.007249575326,6.00724957535499,0.87392150696837
ICL,0.0,0.0,0.87392150696837
LDH_D,0.0,0.0,0.87392150696837
MALS,0.0,0.0,0.87392150696837
MALt2_2,0.0,0.0,0.87392150696837
MDH,5.06437566147747,5.06437566149691,0.87392150696837
ME1,0.0,0.0,0.87392150696837
ME2,0.0,0.0,0.87392150696837
NADH16,38.5346096505121,38.5346096505191,0.87392150696837
NADTRHD,0.0,0.0,0.87392150696837
NH4t,4.765319193197,4.76531919319746,0.87392150696837
O2t,21.7994926559969,21.7994926559991,0.87392150696837
PDH,9.28253259916302,9.28253259918142,0.87392150696837
