Level,Biomass (1/hr),N Reactions (original),N Reactions (combined),AUC (Cumulative FVi),Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1900),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8769972144269824,3682,2712,0.22310374458854076,504.9732752707402,4.66279999998118,855.6377312506597,0.0,2000.0,6.360771580087506e-19,1000.0,24.557522123893804,64.26991150442478,504.9732752707402,4.66279999998118,2000.0,24.37315634218289,661,666,1743
Level 2: Single Enzyme,0.876997214426977,3682,2712,0.23162554802070437,366.6033659772188,3.89663316603384,747.6259825844975,0.0,2000.0,0.0,60.28996708282075,25.77433628318584,64.23303834808259,366.6033659772188,3.89663316603384,2000.0,17.035398230088493,462,699,1742
Level 3a: + Isoenzymes,0.82276159531271,3682,2712,0.30008029085248455,95.10605521925521,1.29547794455996,376.07318747063096,0.0,2000.0,0.0,12.68386978477194,25.58997050147493,51.511799410029504,95.10605521925521,1.29547794455996,2000.0,3.5398230088495577,96,694,1397
Level 3b: + Complexes,0.743586168104452,3682,2712,0.2585952400379894,345.747569322656,1.84533932919048,740.2559518112115,0.0,2000.0,0.0,29.3418078600013,25.77433628318584,56.674041297935105,345.747569322656,1.84533932919048,2000.0,16.556047197640115,449,699,1537
Level 3c: + Promiscuous,0.0229917136057464,3682,2712,0.4664603085015652,62.9791295791882,0.0464744143906704,344.55584113623513,0.0,2000.0,0.0,0.6005694003985045,25.737463126843657,19.653392330383483,62.9791295791882,0.0464744143906704,2000.0,3.023598820058997,82,698,533
Level 4: All Constraints,0.0229917133376624,3682,2712,0.46646029702839636,62.97913086958604,0.0464744329611953,344.55584463324595,0.0,2000.0,0.0,0.600569640377653,25.737463126843657,19.653392330383483,62.97913086958604,0.0464744329611953,2000.0,3.023598820058997,82,698,533
Level 5: Post-Tuned,0.879115877291371,3682,2712,0.24695182946643082,355.01274892256754,2.51159714264978,722.717683760097,0.0,2000.0,0.0,35.7603869026223,25.77433628318584,61.578171091445434,355.01274892256754,2.51159714264978,2000.0,14.528023598820058,394,699,1670
