Level,Biomass (1/hr),N Reactions,Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1000),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8769972144269695,2712,37.172650731059,1.0419664804467663,190.4250771505136,0.0,2000.0,0.0,7.771333333331144,35.176991150442475,50.958702064896755,37.172650731059,1.0419664804467663,2000.0,2.286135693215339,62,954,1382
Level 2: Single Enzyme,0.876997214427214,2712,37.17265072965946,1.0419664804440187,190.42507715078068,0.0,2000.0,0.0,7.771333333298853,35.693215339233035,50.958702064896755,37.17265072965946,1.0419664804440187,2000.0,2.396755162241888,65,968,1382
Level 3a: + Isoenzymes,0.876997214426809,2712,19.819297867732487,1.0419664804460456,117.54803213932107,0.0,1970.941453289373,0.0,7.4614941525715,35.65634218289085,50.958702064896755,19.819297867732487,1.0419664804460456,1970.941453289373,1.0324483775811208,28,967,1382
Level 3b: + Complexes,0.876997214427214,2712,37.17265072965946,1.0419664804440187,190.42507715078068,0.0,2000.0,0.0,7.771333333298853,35.693215339233035,50.958702064896755,37.17265072965946,1.0419664804440187,2000.0,2.396755162241888,65,968,1382
Level 3c: + Promiscuous,0.876997214427214,2712,37.17265072965946,1.0419664804440187,190.42507715078068,0.0,2000.0,0.0,7.771333333298853,35.693215339233035,50.958702064896755,37.17265072965946,1.0419664804440187,2000.0,2.396755162241888,65,968,1382
Level 4: All Constraints,0.255960300472493,2712,1.0491609225313592,0.10583445679326234,2.872802679018192,0.0,31.5963164282649,0.0,0.8267644520696615,35.693215339233035,23.34070796460177,1.0491609225313592,0.10583445679326234,31.5963164282649,0.0,0,968,633
Level 5: Post-Tuned,0.517941390374955,2712,2.857384395992376,0.434250639134385,14.169705636871887,0.0,380.27821762021,0.0,1.9384821852778964,35.9882005899705,36.43067846607669,2.857384395992376,0.434250639134385,380.27821762021,0.0,0,976,988
