Iteration,Biomass
0,0.0229917133376624
1,0.0259500189594193
2,0.0405044261791106
3,0.0798397303172781
4,0.102432798085397
5,0.0977175395364931
6,0.0688718705805408
7,0.0487598308107349
8,0.097067871565409
9,0.123084509234119
10,0.0818300925392207
11,0.139295187469983
12,0.102545191046768
13,0.0857528578081565
14,0.0653021534312597
15,0.0703623351162202
16,0.118535540778684
17,0.0999848101591636
18,0.0686899846746814
19,0.0595504143761074
20,0.0356610523170778
21,0.0687116127290413
22,0.0898839214152795
23,0.0512203941048991
24,0.0491337719710606
25,0.0712755157046006
26,0.0790528864868732
27,0.0648575807572712
28,0.104201952704158
29,0.0866733541119706
30,0.112235811700291
31,0.13727467459613
32,0.0910059565012716
33,0.059055591719107
34,0.0215756305433729
35,0.0746815234493599
36,0.0600769193353643
37,0.0526587403883076
38,0.0620238671230812
39,0.0626749446538601
40,0.0501360582396016
41,0.0675071042202413
42,0.0882798295591958
43,0.0779532626063967
44,0.0628524041716089
45,0.0694848852136268
46,0.0460709552785273
47,0.0439215828406396
48,0.100619111156834
49,0.0700413834053908
50,0.116591687592466
51,0.120392759331801
52,0.138461464267585
53,0.0628490799719904
54,0.06381997248854
55,0.0828338782012493
56,0.0743627008330067
57,0.0836044342792262
58,0.0704559146473645
59,0.0816753076675951
60,0.0844002221226582
61,0.056930850392472
62,0.062116017538241
63,0.0685049454881946
64,0.0788956789789851
65,0.0679908683196092
66,0.0494321081704358
67,0.0590893880806392
68,0.0709988000344557
69,0.066217837900261
70,0.0806188993247746
71,0.0616995732421443
72,0.0599729057591685
73,0.0810597167759254
74,0.0688007194842418
75,0.031055216308971
76,0.061328416415395
77,0.0609167334827518
78,0.0515173235021208
79,0.0781851394938963
80,0.0953930466183418
81,0.0311688475634775
82,0.0588006234434818
83,0.0885653865450557
84,0.0803531021688991
85,0.0721365594356248
86,0.0763825931523278
87,0.0597223795335586
88,0.0589145999517103
89,0.0616705903614733
90,0.0695794304794947
91,0.0497836223558975
92,0.0835720798334347
93,0.116551483345224
94,0.075358930621627
95,0.0368564091159168
96,0.0137788583230636
97,0.0282168801092172
98,0.0645618908593827
99,0.082488987289866
100,0.0747137907946034
101,0.0611177169273965
102,0.0491409142737308
103,0.0563444336120214
104,0.0794485626503434
105,0.0489451917018501
106,0.0516794125524248
107,0.0296408849982408
108,0.0282300107176164
109,0.0664531051625868
110,0.0647533207962237
111,0.0637672095036052
112,0.0484155416917002
113,0.0708736689546978
114,0.0920282063522226
115,0.0770508932223156
116,0.0924475065137781
117,0.10267018640695
118,0.0808303253916596
119,0.0766484276784068
120,0.0845029263678025
121,0.0845029263678025
122,0.0682989112535827
123,0.0593377946702333
124,0.0639848259726855
125,0.0747088568017388
126,0.0973475337774749
127,0.0968256643685674
128,0.0797884324674739
129,0.0597681275890838
130,0.0555137831556188
131,0.0532809073696922
132,0.040134419983817
133,0.061236891427968
134,0.084974909817102
135,0.0584802060155888
136,0.0506032319060752
137,0.0726012237225672
138,0.0683576127541801
139,0.0658692855229168
140,0.0658425193347011
141,0.0899090100389465
142,0.081591452871832
143,0.0713254310895141
144,0.0529232553913945
145,0.0648547749694594
146,0.0875875030319743
147,0.0659907169535727
148,0.0688012640252179
149,0.0803843500067316
150,0.104863026992949
151,0.104863026992949
152,0.0490179148864449
153,0.0540456574224864
154,0.0706773368424586
155,0.075857693555489
156,0.0879694014478498
157,0.0879694014478498
158,0.0934171521907602
159,0.123831701769712
160,0.123831701769712
161,0.120811530186123
162,0.120811530186123
163,0.120811530186123
164,0.109592832427859
165,0.109592832427859
166,0.112260743534431
167,0.101034891981911
168,0.117812788956897
169,0.107610912947415
170,0.107610912947415
171,0.107610912947415
172,0.107610912947415
173,0.0849684591219516
174,0.0861111930655393
175,0.0859089391204145
176,0.0769209316858431
177,0.0768760640409237
178,0.0768760640409237
179,0.0872135327852156
180,0.0872135327852156
181,0.10244171814786
182,0.10244171814786
183,0.105574238844157
184,0.105574238844157
185,0.116881260855641
186,0.113446787896915
187,0.113446787896915
188,0.113446787896915
189,0.113446787896915
190,0.116796119426835
191,0.125128010483499
192,0.125128010483499
193,0.125128010483499
194,0.125128010483499
195,0.125128010483499
196,0.125128010483499
197,0.125128010483499
198,0.137693817847618
199,0.137693817847618
200,0.137693817847618
201,0.137693817847618
202,0.137693817847618
203,0.137693817847618
204,0.137693817847618
205,0.137693817847618
206,0.137693817847618
207,0.137693817847618
208,0.137693817847618
209,0.137693817847618
210,0.137693817847618
211,0.137693817847618
212,0.137693817847618
213,0.139453001356529
214,0.139916353117862
215,0.136647008252734
216,0.136647008252734
217,0.136647008252734
218,0.145396677910381
219,0.147475380792806
220,0.147475380792806
221,0.147475380792806
222,0.147475380792806
223,0.147475380792806
224,0.147475380792806
225,0.147475380792806
