iteration,biomass
0,0.0229917133376624
1,0.0229917133376624
2,0.0229917133376624
3,0.0229917133376624
4,0.0229917133376624
5,0.0229917133376624
6,0.0229917133376624
7,0.0229917133376624
8,0.0229917133376624
9,0.0229917133376624
10,0.0257450506531364
11,0.0245271085429665
12,0.0303835559211715
13,0.0345113450818272
14,0.0363980028018585
15,0.0361670356534651
16,0.0362562121097554
17,0.0441841595743865
18,0.0531823191453493
19,0.0621291425154497
20,0.0625688055728539
21,0.0531220189702722
22,0.0553225422497651
23,0.0712482601682262
24,0.0738831628011001
25,0.0935415234916393
26,0.0925480686267608
27,0.123201229597876
28,0.124056096664381
29,0.124660225836463
30,0.129213898412734
31,0.13086002371179
32,0.132348941292734
33,0.133268151623472
34,0.139117458552354
35,0.168321817605915
36,0.280155999601522
37,0.280556577177491
38,0.281752626809886
39,0.284528599964696
40,0.284954018786907
41,0.28535786573946
42,0.285373283333315
43,0.285417786425512
44,0.285683169824573
45,0.285716754943107
46,0.286206972869032
47,0.286364486582182
48,0.286395384246125
49,0.288585950865991
50,0.288600134749926
51,0.288633559316691
52,0.288734204643907
53,0.390479594424522
54,0.511345688591297
55,0.512292157073049
56,0.513415210757049
57,0.655101800357882
58,0.658672276216685
59,0.661464402630172
60,0.661635929704324
61,0.66357526712686
62,0.664190240082207
63,0.664230365768488
64,0.668696095583008
65,0.700201376969021
66,0.700322429558746
67,0.701727084751323
68,0.702214902558476
69,0.706698415882639
70,0.707016690654865
71,0.713875151803122
72,0.714123603703701
73,0.714871168471013
74,0.714907401877292
75,0.715096477273176
76,0.715569883460138
77,0.715626371135289
78,0.717618902848344
79,0.718066689216073
80,0.719104785549378
81,0.719131011007158
82,0.719318923249682
83,0.719369647655813
84,0.719418096977657
85,0.721516249988043
86,0.721742162300661
87,0.722120558824823
88,0.722470387293074
89,0.722602113256337
90,0.722584307516442
91,0.722983005378167
92,0.723051187006498
93,0.72335718513931
94,0.723367776034631
95,0.726720310723892
96,0.727163786269157
97,0.727410825376751
98,0.7274389292069
99,0.727553931916968
100,0.727721450553305
101,0.727756040136207
102,0.727848976924625
103,0.728326546270942
104,0.728926320155181
105,0.730646402001264
106,0.730681263838252
107,0.730721824407545
108,0.73082741585257
109,0.730902191261248
110,0.731029738618334
111,0.730998631340284
112,0.731064058197206
113,0.731178980893828
114,0.731198224859063
115,0.731254706973089
116,0.731264249915815
117,0.731352171228758
118,0.732489980249118
119,0.732882843201494
120,0.736809812781512
121,0.736902784942083
122,0.736937538937678
123,0.737023380449032
124,0.737050568489827
125,0.738639763056846
126,0.738711217751766
127,0.738830199906592
128,0.738854330168799
129,0.73888524697521
130,0.73885948324298
131,0.738770537785405
132,0.738830022137765
133,0.738835635883938
134,0.738846901728083
135,0.740296480017034
136,0.740395309447907
137,0.740442293362269
138,0.740481068459708
139,0.740499718671049
140,0.740520231301376
141,0.740511365005169
142,0.740505122392816
143,0.740526581056518
144,0.740533757452543
145,0.740632735875137
146,0.740686284781969
147,0.740695170141259
148,0.740716550453324
149,0.740718439505064
150,0.740743814404728
151,0.740777207463731
152,0.7407715796563
153,0.740772169706592
154,0.740800738893735
155,0.740820891366699
156,0.740837481473574
157,0.740871086345591
158,0.740863412785986
159,0.740869161233578
160,0.740888643329795
161,0.740914837656923
162,0.740925644826122
163,0.741010055590339
164,0.741017554993135
165,0.74100379134397
166,0.741008236504501
167,0.741001481953895
168,0.741001172609583
169,0.741012381293181
170,0.741027727658161
171,0.741004869471106
172,0.741027852135112
173,0.741067544574222
174,0.741116497376075
175,0.74107952145544
176,0.741059121982082
177,0.741060689907403
178,0.741061559659927
179,0.741081808094896
180,0.741083542144778
181,0.741084668115416
182,0.741077379080816
183,0.741061670362971
184,0.741585981489873
185,0.7415845701949
