Key,Value
PFK_b3916,0.6370038388957463
PFK_b1723,1.4948192268709353
PFL_b0902,3.448609177228397
PFL_b0903,7.613571333430498
PFL_b2579,23.921407101512237
PFL_b3114,7.504409735355283
PFL_b3951,9.279441086505818
PFL_b3952,6.4211173952273155
PGI_b4025,43.08484146032884
PGK_b2926,26.545342782455606
PGL_b0767,7.814239510894294
ACALD_b0351,7.127918591363178
ACALD_b1241,4.919992905353091
AKGt2r_b2587,3.252460153324434
PGM_b3612,21.25450674043004
PGM_b4395,13.826067072264147
PGM_b0755,7.171592146454209
PIt2r_b2987,3.95533448588275
PIt2r_b3493,4.827033381163649
ALCD2x_b0356,5.8227038250826295
ALCD2x_b1478,3.093085343536077
ALCD2x_b1241,4.919992905353091
ACALDt_s0001,
ACKr_b3115,78.37310526670561
ACKr_b2296,1759.6346371418635
ACKr_b1849,25.090546484853927
PPC_b3956,867.5644174427687
ACONTa_b0118,7.574430119991755
ACONTa_b1276,12.836813070561012
ACONTb_b0118,7.0575698960495625
ACONTb_b1276,12.105163854319688
ATPM_nan,
PPCK_b3403,6.072761216368571
ACt2r_nan,
PPS_b1702,10.000277160797845
ADK1_b0474,6.414988348009132
AKGDH_b0116,5.178762395928607
AKGDH_b0726,0.904494703215789
AKGDH_b0727,1.6282726565011152
ATPS4r_b3736,4.494221341866123
ATPS4r_b3737,9.960121113146943
ATPS4r_b3738,6.5912123021809865
ATPS4r_b3731,9.18281201160811
ATPS4r_b3732,7.116302796487429
ATPS4r_b3733,9.4862887780552
ATPS4r_b3734,13.923752270208217
ATPS4r_b3735,8.506189383116274
ATPS4r_b3739,7.408139517244389
PTAr_b2297,6.459270944443598
PTAr_b2458,26.46320933462142
PYK_b1854,5.479828680900604
PYK_b1676,4.686577952188142
BIOMASS_Ecoli_core_w_GAM_nan,
PYRt2_nan,
CO2t_s0001,
RPE_b3386,15.247958126129651
RPE_b4301,2.851310515068906
CS_b0720,36.5035294388
RPI_b2914,825.6693918544543
RPI_b4090,82.5201180145957
SUCCt2_2_b3528,8.860044894035823
CYTBD_b0978,14.973871868964341
CYTBD_b0979,5.039127620079187
CYTBD_b0733,37.05947047525529
CYTBD_b0734,51.89418294794636
D_LACt2_b2975,5.294425698273497
D_LACt2_b3603,2.5466627411962213
ENO_b2779,39.51012302793309
SUCCt3_nan,
ETOHt2r_nan,
SUCDi_b0721,4.255991775532921
SUCDi_b0722,11.53527215734768
SUCDi_b0723,1.5350100363942438
SUCDi_b0724,1.8630611822950485
SUCOAS_b0728,8.681666369689363
SUCOAS_b0729,18.599036968873467
TALA_b2464,7.267816644425193
TALA_b0008,10.799747763163063
THD2_b1602,17.672800254940228
THD2_b1603,14.274506994103609
TKT1_b2935,79074.45137898011
TKT1_b2465,108113.12823939652
TKT2_b2935,100105.59874321471
TKT2_b2465,108113.12823939652
TPI_b3919,1294.5793318218616
EX_ac_e_nan,
EX_acald_e_nan,
EX_akg_e_nan,
EX_co2_e_nan,
EX_etoh_e_nan,
EX_for_e_nan,
EX_fru_e_nan,
EX_fum_e_nan,
EX_glc__D_e_nan,
EX_gln__L_e_nan,
EX_glu__L_e_nan,
EX_h_e_nan,
EX_h2o_e_nan,
EX_lac__D_e_nan,
EX_mal__L_e_nan,
EX_nh4_e_nan,
EX_o2_e_nan,
