Level,Biomass (1/hr),N Reactions (original),N Reactions (combined),Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1000),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8769972144269695,2712,2712,37.17265073105902,1.0419664804467663,190.42507715051363,0.0,2000.0,0.0,7.771333333331144,35.176991150442475,50.958702064896755,37.17265073105902,1.0419664804467663,2000.0,2.286135693215339,62,954,1382
Level 2: Single Enzyme,0.876997214426977,3375,2712,366.6033659772188,3.89663316603384,747.6259825844975,0.0,2000.0,0.0,60.28996708282075,25.77433628318584,64.23303834808259,366.6033659772188,3.89663316603384,2000.0,17.330383480825958,470,699,1742
Level 3a: + Isoenzymes,0.82276159531271,3375,2712,95.10605521925521,1.29547794455996,376.07318747063096,0.0,2000.0,0.0,12.68386978477194,25.58997050147493,51.511799410029504,95.10605521925521,1.29547794455996,2000.0,3.6135693215339235,98,694,1397
Level 3b: + Complexes,0.743586168104452,3375,2712,345.747569322656,1.84533932919048,740.2559518112116,0.0,2000.0,0.0,29.3418078600013,25.77433628318584,56.674041297935105,345.747569322656,1.84533932919048,2000.0,16.70353982300885,453,699,1537
Level 3c: + Promiscuous,0.0229917136057464,3375,2712,62.97912957918821,0.0464744143906704,344.5558411362352,0.0,2000.0,0.0,0.6005694003985045,25.737463126843657,19.653392330383483,62.97912957918821,0.0464744143906704,2000.0,3.0973451327433628,84,698,533
Level 4: All Constraints,0.0229917133376624,3375,2712,62.97913086958604,0.0464744329611953,344.55584463324595,0.0,2000.0,0.0,0.600569640377653,25.737463126843657,19.653392330383483,62.97913086958604,0.0464744329611953,2000.0,3.0973451327433628,84,698,533
Level 5: Post-Tuned,0.144278290117989,3375,2712,82.16347451123973,0.266570159571426,353.9936011689169,0.0,2000.0,0.0,3.37397597287719,25.77433628318584,36.17256637168141,82.16347451123973,0.266570159571426,2000.0,3.2448377581120944,88,699,981
