Key,Value
GLUtex_b0929,-0.0856117867383768
GLYtex_b0929,22.637936166893297
GLYALDtex_b0929,3.8607509364569372
GLYBtex_b0929,12.263878275882906
GLYCtex_b0929,17.188701695901496
GLYC3Ptex_b0929,4.109947836666334
GLYCLTtex_b0929,12.508034680345792
GTPtex_b0929,2.3759349450188982
Htex_b0929,28.49964729819984
H2tex_b0929,19.296633074851545
H2Otex_b0929,
DAPtex_b0929,33.89045118104318
12PPDStex_b0929,31.60932209837181
DDGLCNtex_b0929,10.201086552261845
26DAHtex_b0929,117.29810154352991
HCINNMtex_b0929,11.443760100113339
HPPPNtex_b0929,0.776432428239656
ACtex_b0929,38.93360500500319
ACALDtex_b0929,30.145413290702038
ACMANAtex_b0929,8.025215065583645
ACMUMtex_b0929,17.413896515719856
GALtex_b0929,4.149005446843381
GALCTtex_b0929,60.40345836627029
GALCTNtex_b0929,2.0668258115866784
GALTtex_b0929,1.1366737280770003
GALURtex_b0929,22.73595898414051
GAMtex_b0929,9.288720290852893
GBBTNtex_b0929,28.89463594315058
HIStex_b0929,5.006424417320287
HXAtex_b0929,1.7537555267972391
HYXNtex_b0929,12.434365570914775
IDONtex_b0929,26.288350682018603
ILEtex_b0929,58.58339170422806
INSTtex_b0929,45.53104198542985
Ktex_b0929,19.661936084200512
D_LACtex_b0929,31.000373765492824
FRULYStex_b0929,113.96595918568855
ASPtex_b0929,1.128097021145951
INDOLEtex_b0929,3.8955204700006965
L_LACtex_b0929,18.720443191527746
GLCRtex_b0929,
GLCNtex_b0929,6.519144953454443
GLCURtex_b0929,16.612675553246444
GLNtex_b0929,108.78943040538032
O2tex_b0929,1.338577743030274
OCTAtex_b0929,5.046379883393375
ORNtex_b0929,20.521410960598086
RMNtex_b0929,59.87696705141465
PHEtex_b0929,9.018676992620321
PItex_b0929,83.36031593550082
PNTOtex_b0929,2.5186847852431007
PPPNtex_b0929,20.811800722046797
PPTtex_b0929,
PTRCtex_b0929,32.15313440495159
PYRtex_b0929,67.07256588056433
DSERtex_b0929,27.965413387907628
SERtex_b0929,21.04602264429299
SO4tex_b0929,46.30364106676219
SPMDtex_b0929,85.26994671647802
SUCCtex_b0929,33.49559809081388
SUCRtex_b0929,161.37045099129188
TARTRtex_b0929,28.269649374204725
TAURtex_b0929,566.6302678324682
THRtex_b0929,26.911688834559957
THMDtex_b0929,19.08326483815284
METDtex_b0929,-0.44391345779098224
