Model,Organism,Status,N Runs,Unique Reactions,Unique Genes,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,Initial Biomass,Final Biomass,Biomass Improvement (%),SA Iterations
iEK1008,M tuberculosis,Complete,1,1605,1008,1008,0,13321,11122.13,11645.01,1.0,0.032285,0.058174,80.1889,86
iEKO11_1354,E coli,Complete,1,3813,1354,1354,0,11394,21636.08,58406.36,1.0,0.074003,0.912732,1133.3716,132
iETEC_1333,E coli,Complete,1,3791,1333,1333,0,11333,20427.69,58517.82,1.0,0.07317,0.90313,1134.29,102
iEcDH1_1363,E coli,Complete,1,3781,1363,1363,0,11371,20737.87,56325.83,1.0,0.072767,0.909501,1149.8811,108
iEcE24377_1341,E coli,Complete,1,3796,1341,1341,0,11279,20735.2,60276.76,1.0,0.073929,0.912465,1134.245,132
iEcHS_1320,E coli,Complete,1,3784,1321,1321,0,11208,20280.8,62270.28,1.0,0.070134,0.91976,1211.4324,114
iEcSMS35_1347,E coli,Complete,1,3775,1347,1347,0,11300,21069.83,63387.79,1.0,0.074138,0.917213,1137.1699,98
iEcolC_1368,E coli,Complete,1,3799,1368,1368,0,11403,20458.75,57330.75,1.0,0.071736,0.919636,1181.9728,132
iG2583_1286,E coli,Complete,1,3730,1283,1283,0,11044,21148.42,71776.28,1.0,0.075037,0.907967,1110.0257,153
iHN637,Clostridium,Complete,1,1077,637,637,0,3136,19788.89,23141.97,1.0,0.171563,0.224455,30.8295,83
iIS312,T cruzi,Complete,1,826,312,312,0,2229,10515.26,13518.49,1.0,0.267967,16.823691,6178.2697,210
iIS312_Amastigote,T cruzi,Complete,1,803,312,312,0,2173,10369.65,12480.07,1.0,0.079077,6.468717,8080.2762,226
iIS312_Epimastigote,T cruzi,Complete,1,824,312,312,0,2226,10479.65,13549.63,1.0,0.267967,16.820083,6176.9233,226
iIS312_Trypomastigote,T cruzi,Complete,1,810,312,312,0,2212,10220.13,10839.62,1.0,0.248677,22.516589,8954.5523,226
iIT341,H pylori,Complete,1,796,339,339,0,1878,16839.62,21846.0,1.0,0.19415,0.610604,214.5012,167
iJB785,Synechococcus,Complete,1,1088,785,785,0,3707,21051.89,21051.89,1.0,0.053902,0.053902,0.0,1
iJN1463,Pseudomonas,Complete,1,4038,1462,1462,0,11774,17599.71,20578.65,1.0,0.157549,0.585755,271.7923,144
iJN678,Synechocystis,Complete,1,1122,622,622,0,4053,15423.96,15779.97,1.0,0.062494,0.06315,1.0497,4
iJO1366,E coli,Complete,1,3518,1367,1367,0,10926,20668.23,54167.04,1.0,0.070629,0.907848,1185.3757,106
iJR904,E coli,Complete,1,1467,904,904,0,4458,21249.33,25264.26,1.0,0.117408,0.498356,324.4651,115
iLB1027_lipid,Phaeodactylum,Complete,1,4954,1027,1027,0,16947,10117.6,100300.85,10.7686,0.04803,0.359607,648.7133,27
iLF82_1304,E coli,Complete,1,3759,1302,1302,0,11117,21750.82,63920.69,1.0,0.075337,0.912091,1110.6813,112
iLJ478,Thermotoga,Complete,1,918,482,482,0,3072,18648.99,20812.77,1.0,0.131613,0.228407,73.5444,23
iML1515,E coli,Complete,1,3682,1516,1516,0,11789,20781.53,54309.47,1.0,0.023131,0.782271,3281.916,122
iMM904,Yeast,Complete,1,2230,905,905,0,6804,14680.36,16383.71,1.0,0.02714,0.234719,764.8452,108
iND750,Yeast,Complete,1,1815,750,750,0,5194,14782.66,17217.11,1.0,0.042319,0.097323,129.9747,46
iNJ661,M tuberculosis,Complete,1,1366,661,661,0,4346,13033.18,13033.18,1.0,0.05255,0.05255,0.0,1
iNRG857_1313,E coli,Complete,1,3768,1311,1311,0,11181,21718.54,61153.13,1.0,0.076426,0.919908,1103.6584,109
iSB619,S aureus,Complete,1,1036,619,619,0,3757,17605.87,20136.24,1.0,0.000186,0.001102,492.4731,168
iSBO_1134,E coli,Complete,1,3597,1134,1134,0,10071,21576.77,55251.69,1.0,0.060091,0.399881,565.4591,80
iSDY_1059,E coli,Complete,1,3540,1059,1059,0,8834,20551.15,50762.44,1.0,0.095896,0.807077,741.617,140
iSFV_1184,E coli,Complete,1,3637,1184,1184,0,10526,21161.82,78511.14,1.0,0.072326,0.763194,955.2139,178
iSF_1195,E coli,Complete,1,3648,1195,1195,0,10563,21282.27,91929.84,1.0,0.078555,0.782994,896.7462,118
iSFxv_1172,E coli,Complete,1,3652,1169,1169,0,10553,21338.34,89147.22,1.0,0.079245,0.7535,850.8486,108
iSSON_1240,E coli,Complete,1,3713,1240,1240,0,10869,20332.99,72408.12,1.0,0.070825,0.903839,1176.1581,110
iS_1188,E coli,Complete,1,3632,1188,1188,0,10531,20996.5,84945.3,1.0,0.064097,0.71253,1011.6433,139
iSbBS512_1146,E coli,Complete,1,3599,1147,1147,0,10169,20590.11,110585.8,1.0,0.071012,0.921647,1197.875,118
iUMN146_1321,E coli,Complete,1,3764,1319,1319,0,11200,21147.71,61324.46,1.0,0.074718,0.920764,1132.3189,126
iUMNK88_1353,E coli,Complete,1,3811,1353,1353,0,11400,20273.03,56559.87,1.0,0.072041,0.909628,1162.6532,124
iUTI89_1310,E coli,Complete,1,3754,1310,1310,0,11140,21004.2,61687.72,1.0,0.077586,0.914968,1079.2952,141
iWFL_1372,E coli,Complete,1,3815,1372,1372,0,11329,20784.83,51988.82,1.0,0.073842,0.912586,1135.8631,144
iY75_1357,E coli,Complete,1,3794,1358,1358,0,11385,20755.27,57844.52,1.0,0.072957,0.909487,1146.6069,142
iYL1228,Klebsiella,Complete,1,3090,1229,1229,0,9584,21958.57,95355.22,1.0,0.031384,0.935865,2881.9813,155
iYO844,B subtilis,Complete,1,1809,844,844,0,5775,16923.32,22799.66,1.0,0.033985,0.117966,247.112,68
iYS1720,E coli,Complete,1,4455,1707,1707,0,13085,11212.94,29646.61,1.0,0.488455,0.488455,0.0,51
iYS854,S aureus,Complete,1,2101,866,866,0,5760,19332.45,23143.07,1.0,0.029073,1.209833,4061.3628,226
ic_1306,E coli,Complete,1,3756,1307,1307,0,11144,21556.49,65402.29,1.0,0.077195,0.955922,1138.3211,109
