Model,Organism,Run ID,Status,Unique Reactions,Unique Genes,Unique Metabolites,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),CPI-Pred Coverage (%),COBRA Biomass,Initial EC Biomass,Initial Biomass,Final Biomass,Biomass Improvement (%),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,N kcat Increased,N kcat Decreased,SA Iterations,Time Data Prep (s),Time Optimization (s),Time SA (s),Time Total Pipeline (s),Time Total Pipeline (hr),SLURM Job ID,SLURM Node,SLURM CPUs,SLURM Mem Requested (GB),SLURM Mem Used (MB),SLURM Walltime (s),Enzyme Upper Bound,Biomass Reaction
iSFV_1184,E coli,iSFV_1184_20260310_5427,Complete,3637,1184,1917,1184,0,10526,289.41,0.893858,0.072326,0.072326,0.763194,955.2139,21161.82,78511.14,1.0,3269.0,0.0,178,33.3,2.7,1494.6,1532.5,0.426,26948336,fc20626,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSF_1195,E coli,iSF_1195_20260310_4212,Complete,3648,1195,1917,1195,0,10563,289.56,0.914592,0.078555,0.078555,0.782994,896.7462,21282.27,91929.84,1.0,3332.0,0.0,118,31.2,2.4,911.6,947.4,0.263,26948337,fc20630,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSFxv_1172,E coli,iSFxv_1172_20260310_5675,Complete,3652,1169,1918,1169,0,10553,288.96,0.894089,0.079245,0.079245,0.7535,850.8486,21338.34,89147.22,1.0,3337.0,0.0,108,38.3,2.7,930.6,973.7,0.27,26948338,fc30220,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSSON_1240,E coli,iSSON_1240_20260310_4429,Complete,3713,1240,1936,1240,0,10869,292.73,0.982645,0.070825,0.070825,0.903839,1176.1581,20332.99,72408.12,1.0,3290.0,0.0,110,33.3,2.6,927.8,965.9,0.268,26948339,fc30229,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iS_1188,E coli,iS_1188_20260310_9865,Complete,3632,1188,1914,1188,0,10531,289.95,0.857077,0.064097,0.064097,0.71253,1011.6433,20996.5,84945.3,1.0,3318.0,0.0,139,30.7,2.5,1102.0,1137.0,0.316,26948340,fc30230,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSbBS512_1146,E coli,iSbBS512_1146_20260310_8849,Complete,3599,1147,1910,1147,0,10169,282.55,0.982812,0.071012,0.071012,0.921647,1197.875,20590.11,110585.8,1.0,3287.0,0.0,118,29.8,2.4,885.6,919.7,0.255,26948341,fc30239,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iUMN146_1321,E coli,iUMN146_1321_20260310_1746,Complete,3764,1319,1942,1319,0,11200,297.56,0.982478,0.074718,0.074718,0.920764,1132.3189,21147.71,61324.46,1.0,3316.0,0.0,126,30.0,2.5,1000.7,1035.1,0.288,26948343,fc30319,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iUMNK88_1353,E coli,iUMNK88_1353_20260310_5016,Complete,3811,1353,1969,1353,0,11400,299.13,0.982478,0.072041,0.072041,0.909628,1162.6532,20273.03,56559.87,1.0,3302.0,0.0,124,35.2,3.2,1124.7,1165.4,0.324,26948344,fc30330,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iUTI89_1310,E coli,iUTI89_1310_20260310_2438,Complete,3754,1310,1940,1310,0,11140,296.75,0.982478,0.077586,0.077586,0.914968,1079.2952,21004.2,61687.72,1.0,3308.0,0.0,141,33.7,3.0,1211.1,1252.4,0.348,26948345,fc30249,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iWFL_1372,E coli,iWFL_1372_20260310_8702,Complete,3815,1372,1973,1372,0,11329,296.96,0.982478,0.073842,0.073842,0.912586,1135.8631,20784.83,51988.82,1.0,3115.0,0.0,144,33.5,2.7,1184.4,1222.6,0.34,26948346,fc30310,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iY75_1357,E coli,iY75_1357_20260310_8635,Complete,3794,1358,1953,1358,0,11385,300.08,0.982478,0.072957,0.072957,0.909487,1146.6069,20755.27,57844.52,1.0,3299.0,0.0,142,33.1,2.7,1224.8,1262.6,0.351,26948347,fc30310,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iYL1228,Klebsiella,iYL1228_20260310_2550,Complete,3090,1229,1658,1229,0,9584,310.16,1.042637,0.031384,0.031384,0.935865,2881.9813,21958.57,95355.22,1.0,3237.0,0.0,155,24.8,2.0,1104.6,1134.0,0.315,26948348,fc30310,4,32,,,0.25,BIOMASS_
iYO844,B subtilis,iYO844_20260310_6741,Complete,1809,844,990,844,0,5775,319.24,0.117966,0.033985,0.033985,0.117966,247.112,16923.32,22799.66,1.0,606.0,2.0,68,13.3,1.0,101.6,118.4,0.033,26948349,fc30333,4,32,,,0.25,BIOMASS_BS_10
iYS1720,E coli,iYS1720_20260310_2898,Complete,4455,1707,2436,1707,0,13085,293.71,0.488455,0.488455,0.488455,0.488455,0.0,11212.94,29646.61,1.0,4.0,0.0,51,42.1,2.0,582.8,632.1,0.176,26948351,fc20632,4,32,,,0.25,BIOMASS_iRR1083_1
iYS854,S aureus,iYS854_20260310_8145,Complete,2101,866,1335,866,0,5760,274.16,1.360225,0.029073,0.029073,1.209833,4061.3628,19332.45,23143.07,1.0,460.0,1.0,226,14.2,1.3,333.0,350.9,0.097,26948352,fc30168,4,32,,,0.25,BIOMASS_iYS_wild_type
ic_1306,E coli,ic_1306_20260310_8872,Complete,3756,1307,1936,1307,0,11144,296.7,1.031922,0.077195,0.077195,0.955922,1138.3211,21556.49,65402.29,1.0,3275.0,0.0,109,32.9,2.6,875.1,912.5,0.253,26948358,fc30260,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
