Model,Organism,Run ID,Status,Unique Reactions,Unique Genes,Unique Metabolites,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),CPI-Pred Coverage (%),COBRA Biomass,Initial EC Biomass,Initial Biomass,Final Biomass,Biomass Improvement (%),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,N kcat Increased,N kcat Decreased,SA Iterations,Time Data Prep (s),Time Optimization (s),Time SA (s),Time Total Pipeline (s),Time Total Pipeline (hr),SLURM Job ID,SLURM Node,SLURM CPUs,SLURM Mem Requested (GB),SLURM Mem Used (MB),SLURM Walltime (s),Enzyme Upper Bound,Biomass Reaction
iEC1344_C,E coli,iEC1344_C_20260310_2525,Complete,3691,1344,1934,1344,0,11383,308.4,0.982396,0.982396,0.982396,0.982396,0.0,,,,,,51,35.0,3.3,347.9,393.3,0.109,26948159,fc20632,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEC1349_Crooks,E coli,iEC1349_Crooks_20260310_5073,Complete,3718,1349,1946,1349,0,11527,310.03,0.986579,0.070284,0.070284,0.913027,1199.0538,20408.98,57405.47,1.0,3250.0,0.0,124,35.4,2.6,1053.4,1093.8,0.304,26948161,fc20633,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEC1356_Bl21DE3,E coli,iEC1356_Bl21DE3_20260310_4055,Complete,3698,1356,1918,1356,0,11428,309.03,0.976701,0.080583,0.080583,0.874968,985.7973,20739.41,47292.76,1.0,2727.0,0.0,158,33.9,2.7,1183.5,1222.1,0.339,26948165,fc20639,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEC1364_W,E coli,iEC1364_W_20260310_9996,Complete,3721,1364,1927,1364,0,11520,309.59,0.985365,0.073837,0.073837,0.876922,1087.6458,21190.27,57844.52,1.0,3245.0,0.0,121,25.6,2.2,814.5,843.8,0.234,26948168,fc30159,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEC1372_W3110,E coli,iEC1372_W3110_20260310_8897,Complete,3722,1372,1918,1372,0,11533,309.86,0.982396,0.070744,0.070744,0.908321,1183.9548,20739.94,55092.95,1.0,3220.0,0.0,126,37.9,2.9,1020.5,1063.2,0.295,26948173,fc30168,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEC55989_1330,E coli,iEC55989_1330_20260310_3448,Complete,3792,1330,1953,1330,0,11308,298.21,0.982478,0.073643,0.073643,0.906416,1130.8244,20680.49,60353.11,1.0,3305.0,0.0,106,35.2,2.9,955.2,995.8,0.277,26948175,fc30204,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECABU_c1320,E coli,iECABU_c1320_20260310_2520,Complete,3762,1320,1942,1320,0,11173,297.0,0.982478,0.07517,0.07517,0.911769,1112.9427,21147.71,63622.08,1.0,3345.0,0.0,108,39.6,3.2,983.6,1028.4,0.286,26948177,fc30220,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECBD_1354,E coli,iECBD_1354_20260310_5615,Complete,3777,1354,1952,1354,0,11306,299.34,0.975615,0.079143,0.079143,0.917774,1059.6401,20902.57,47292.76,1.0,2751.0,0.0,110,34.0,2.8,838.7,877.5,0.244,26948178,fc30229,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECB_1328,E coli,iECB_1328_20260310_9147,Complete,3777,1329,1951,1329,0,11227,297.25,0.982478,0.072774,0.072774,0.912143,1153.3913,20325.61,61566.62,1.0,3294.0,0.0,142,32.7,3.0,1164.2,1201.8,0.334,26948179,fc30231,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECDH10B_1368,E coli,iECDH10B_1368_20260310_4031,Complete,3772,1327,1947,1327,0,11265,298.65,1.037478,0.073752,0.073752,0.948203,1185.6641,20551.15,61059.12,1.0,3305.0,0.0,126,34.7,2.7,1082.4,1121.9,0.312,26948180,fc30249,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECDH1ME8569_1439,E coli,iECDH1ME8569_1439_20260310_5300,Complete,3790,1439,1950,1439,0,11401,300.82,0.982478,0.07288,0.07288,0.912506,1152.0664,20551.15,55092.95,1.0,3084.0,0.0,130,35.0,2.7,1072.2,1111.8,0.309,26948184,fc30260,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
