Level,Biomass (1/hr),N Reactions,Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1000),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8769972144269695,2712,37.172650731058916,1.0419664804467663,190.42507715051363,0.0,2000.0,0.0,7.771333333331144,35.176991150442475,50.958702064896755,37.172650731058916,1.0419664804467663,2000.0,2.286135693215339,62,954,1382
Level 2: Single Enzyme,0.876997214426446,2712,18.493987297027605,1.041966480457605,98.75078935094473,0.0,1094.7331940837398,0.0,7.461494152912687,35.693215339233035,50.958702064896755,18.493987297027605,1.041966480457605,1094.7331940837398,0.7374631268436578,20,968,1382
Level 3a: + Isoenzymes,0.856314643135979,2712,6.057597154187949,0.957077708669283,20.7800545314131,0.0,381.96417130448594,0.0,4.8476354019073575,35.693215339233035,49.11504424778761,6.057597154187949,0.957077708669283,381.96417130448594,0.0,0,968,1332
Level 3b: + Complexes,0.75610814898948,2712,13.705680821501591,0.728161453817414,90.54287146069609,0.0,1047.8795540012125,0.0,3.41200266824303,35.693215339233035,43.399705014749266,13.705680821501591,0.728161453817414,1047.8795540012125,0.7374631268436578,20,968,1177
Level 3c: + Promiscuous,0.128620299860901,2712,1.228525111942042,0.086331603433381,5.507363040225508,0.0,99.67678157015399,0.0,0.548534090905375,35.693215339233035,17.146017699115042,1.228525111942042,0.086331603433381,99.67678157015399,0.0,0,968,465
Level 4: All Constraints,0.123866120493631,2712,1.0313318399200013,0.081474180165573,4.9672223001757345,0.0,94.9704023821045,0.0,0.513914054275529,35.693215339233035,16.666666666666664,1.0313318399200013,0.081474180165573,94.9704023821045,0.0,0,968,452
Level 5: Post-Tuned,0.25119494105277,2712,2.028748609643471,0.20557882364706803,9.99510431430743,0.0,195.9095495557448,0.0,1.1454967671655676,36.09882005899705,27.17551622418879,2.028748609643471,0.20557882364706803,195.9095495557448,0.0,0,979,737
